Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Source
0.8200000000000001,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.8300000000000001,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.84,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.85,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.86,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.87,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.88,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.89,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.9,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.91,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.92,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.93,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.9400000000000001,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.9500000000000001,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.96,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.97,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.98,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.99,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
1.0,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
1.01,"0.696 (0.667, 0.667)","0.975 (0.972, 0.972)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.0,"0.672 (0.630, 0.630)","0.066 (0.064, 0.064)","0.979 (0.976, 0.976)","0.043 (0.041, 0.041)","0.025 (0.024, 0.024)",AlloSure
0.01,"0.672 (0.630, 0.630)","0.131 (0.131, 0.131)","0.936 (0.927, 0.927)","0.110 (0.109, 0.109)","0.026 (0.025, 0.025)",AlloSure
0.02,"0.672 (0.630, 0.630)","0.213 (0.209, 0.209)","0.904 (0.900, 0.900)","0.195 (0.188, 0.188)","0.028 (0.026, 0.026)",AlloSure
0.03,"0.672 (0.630, 0.630)","0.301 (0.293, 0.293)","0.883 (0.860, 0.860)","0.286 (0.276, 0.276)","0.031 (0.029, 0.029)",AlloSure
0.04,"0.672 (0.630, 0.630)","0.377 (0.367, 0.367)","0.793 (0.732, 0.732)","0.367 (0.355, 0.355)","0.031 (0.028, 0.028)",AlloSure
0.05,"0.672 (0.630, 0.630)","0.446 (0.441, 0.441)","0.767 (0.700, 0.700)","0.438 (0.434, 0.434)","0.033 (0.030, 0.030)",AlloSure
0.06,"0.672 (0.630, 0.630)","0.503 (0.488, 0.488)","0.714 (0.634, 0.634)","0.498 (0.485, 0.485)","0.035 (0.032, 0.032)",AlloSure
0.07,"0.672 (0.630, 0.630)","0.555 (0.550, 0.550)","0.691 (0.610, 0.610)","0.552 (0.551, 0.551)","0.037 (0.034, 0.034)",AlloSure
0.08,"0.672 (0.630, 0.630)","0.599 (0.591, 0.591)","0.643 (0.610, 0.610)","0.598 (0.593, 0.593)","0.039 (0.035, 0.035)",AlloSure
0.09,"0.672 (0.630, 0.630)","0.638 (0.629, 0.629)","0.612 (0.585, 0.585)","0.639 (0.628, 0.628)","0.041 (0.036, 0.036)",AlloSure
0.1,"0.672 (0.630, 0.630)","0.668 (0.663, 0.663)","0.589 (0.512, 0.512)","0.670 (0.661, 0.661)","0.043 (0.039, 0.039)",AlloSure
0.11,"0.672 (0.630, 0.630)","0.691 (0.686, 0.686)","0.584 (0.488, 0.488)","0.695 (0.686, 0.686)","0.046 (0.041, 0.041)",AlloSure
0.12,"0.672 (0.630, 0.630)","0.710 (0.706, 0.706)","0.575 (0.488, 0.488)","0.714 (0.706, 0.706)","0.048 (0.043, 0.043)",AlloSure
0.13,"0.672 (0.630, 0.630)","0.728 (0.724, 0.724)","0.566 (0.488, 0.488)","0.732 (0.729, 0.729)","0.050 (0.045, 0.045)",AlloSure
0.14,"0.672 (0.630, 0.630)","0.742 (0.740, 0.740)","0.531 (0.439, 0.439)","0.748 (0.745, 0.745)","0.050 (0.046, 0.046)",AlloSure
0.15,"0.672 (0.630, 0.630)","0.756 (0.754, 0.754)","0.520 (0.439, 0.439)","0.763 (0.759, 0.759)","0.052 (0.049, 0.049)",AlloSure
0.16,"0.672 (0.630, 0.630)","0.771 (0.770, 0.770)","0.511 (0.415, 0.415)","0.777 (0.775, 0.775)","0.055 (0.052, 0.052)",AlloSure
0.17,"0.672 (0.630, 0.630)","0.780 (0.779, 0.779)","0.487 (0.390, 0.390)","0.788 (0.786, 0.786)","0.055 (0.050, 0.050)",AlloSure
0.18,"0.672 (0.630, 0.630)","0.790 (0.788, 0.788)","0.469 (0.366, 0.366)","0.798 (0.795, 0.795)","0.055 (0.050, 0.050)",AlloSure
0.19,"0.672 (0.630, 0.630)","0.799 (0.796, 0.796)","0.459 (0.341, 0.341)","0.807 (0.804, 0.804)","0.056 (0.052, 0.052)",AlloSure
0.2,"0.672 (0.630, 0.630)","0.809 (0.806, 0.806)","0.454 (0.340, 0.340)","0.818 (0.817, 0.817)","0.059 (0.056, 0.056)",AlloSure
0.21,"0.672 (0.630, 0.630)","0.815 (0.812, 0.812)","0.409 (0.300, 0.300)","0.825 (0.824, 0.824)","0.056 (0.051, 0.051)",AlloSure
0.22,"0.672 (0.630, 0.630)","0.819 (0.817, 0.817)","0.394 (0.280, 0.280)","0.830 (0.828, 0.828)","0.055 (0.049, 0.049)",AlloSure
0.23,"0.672 (0.630, 0.630)","0.826 (0.823, 0.823)","0.389 (0.280, 0.280)","0.838 (0.835, 0.835)","0.057 (0.051, 0.051)",AlloSure
0.24,"0.672 (0.630, 0.630)","0.832 (0.829, 0.829)","0.379 (0.280, 0.280)","0.844 (0.839, 0.839)","0.058 (0.052, 0.052)",AlloSure
0.25,"0.672 (0.630, 0.630)","0.836 (0.832, 0.832)","0.373 (0.280, 0.280)","0.848 (0.846, 0.846)","0.059 (0.050, 0.050)",AlloSure
0.26,"0.672 (0.630, 0.630)","0.841 (0.837, 0.837)","0.369 (0.260, 0.260)","0.853 (0.848, 0.848)","0.060 (0.052, 0.052)",AlloSure
0.27,"0.672 (0.630, 0.630)","0.845 (0.841, 0.841)","0.360 (0.244, 0.244)","0.857 (0.853, 0.853)","0.060 (0.051, 0.051)",AlloSure
0.28,"0.672 (0.630, 0.630)","0.848 (0.843, 0.843)","0.360 (0.244, 0.244)","0.861 (0.856, 0.856)","0.061 (0.052, 0.052)",AlloSure
0.29,"0.672 (0.630, 0.630)","0.851 (0.846, 0.846)","0.350 (0.244, 0.244)","0.864 (0.860, 0.860)","0.061 (0.052, 0.052)",AlloSure
0.3,"0.672 (0.630, 0.630)","0.854 (0.849, 0.849)","0.340 (0.244, 0.244)","0.867 (0.863, 0.863)","0.061 (0.049, 0.049)",AlloSure
0.31,"0.672 (0.630, 0.630)","0.857 (0.853, 0.853)","0.340 (0.244, 0.244)","0.870 (0.868, 0.868)","0.062 (0.049, 0.049)",AlloSure
0.32,"0.672 (0.630, 0.630)","0.860 (0.856, 0.856)","0.335 (0.244, 0.244)","0.873 (0.871, 0.871)","0.063 (0.051, 0.051)",AlloSure
0.33,"0.672 (0.630, 0.630)","0.862 (0.860, 0.860)","0.331 (0.244, 0.244)","0.876 (0.872, 0.872)","0.063 (0.053, 0.053)",AlloSure
0.34,"0.672 (0.630, 0.630)","0.865 (0.862, 0.862)","0.327 (0.244, 0.244)","0.879 (0.877, 0.877)","0.064 (0.053, 0.053)",AlloSure
0.35000000000000003,"0.672 (0.630, 0.630)","0.867 (0.864, 0.864)","0.322 (0.244, 0.244)","0.881 (0.879, 0.879)","0.064 (0.054, 0.054)",AlloSure
0.36,"0.672 (0.630, 0.630)","0.870 (0.866, 0.866)","0.322 (0.244, 0.244)","0.884 (0.883, 0.883)","0.065 (0.054, 0.054)",AlloSure
0.37,"0.672 (0.630, 0.630)","0.872 (0.869, 0.869)","0.322 (0.244, 0.244)","0.886 (0.883, 0.883)","0.066 (0.056, 0.056)",AlloSure
0.38,"0.672 (0.630, 0.630)","0.873 (0.871, 0.871)","0.322 (0.244, 0.244)","0.888 (0.885, 0.885)","0.067 (0.056, 0.056)",AlloSure
0.39,"0.672 (0.630, 0.630)","0.876 (0.874, 0.874)","0.322 (0.244, 0.244)","0.891 (0.888, 0.888)","0.069 (0.058, 0.058)",AlloSure
0.4,"0.672 (0.630, 0.630)","0.878 (0.875, 0.875)","0.312 (0.244, 0.244)","0.892 (0.890, 0.890)","0.068 (0.059, 0.059)",AlloSure
0.41000000000000003,"0.672 (0.630, 0.630)","0.879 (0.877, 0.877)","0.312 (0.244, 0.244)","0.894 (0.891, 0.891)","0.069 (0.060, 0.060)",AlloSure
0.42,"0.672 (0.630, 0.630)","0.881 (0.878, 0.878)","0.312 (0.244, 0.244)","0.895 (0.892, 0.892)","0.070 (0.060, 0.060)",AlloSure
0.43,"0.672 (0.630, 0.630)","0.882 (0.880, 0.880)","0.312 (0.244, 0.244)","0.897 (0.895, 0.895)","0.071 (0.061, 0.061)",AlloSure
0.44,"0.672 (0.630, 0.630)","0.884 (0.881, 0.881)","0.308 (0.244, 0.244)","0.899 (0.897, 0.897)","0.071 (0.062, 0.062)",AlloSure
0.45,"0.672 (0.630, 0.630)","0.886 (0.884, 0.884)","0.290 (0.200, 0.200)","0.901 (0.899, 0.899)","0.068 (0.057, 0.057)",AlloSure
0.46,"0.672 (0.630, 0.630)","0.887 (0.885, 0.885)","0.290 (0.200, 0.200)","0.903 (0.900, 0.900)","0.069 (0.059, 0.059)",AlloSure
0.47000000000000003,"0.672 (0.630, 0.630)","0.889 (0.886, 0.886)","0.286 (0.195, 0.195)","0.905 (0.902, 0.902)","0.070 (0.054, 0.054)",AlloSure
0.48,"0.672 (0.630, 0.630)","0.891 (0.889, 0.889)","0.286 (0.195, 0.195)","0.906 (0.905, 0.905)","0.071 (0.055, 0.055)",AlloSure
0.49,"0.672 (0.630, 0.630)","0.892 (0.889, 0.889)","0.277 (0.195, 0.195)","0.908 (0.905, 0.905)","0.070 (0.052, 0.052)",AlloSure
