Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Source,AUC_Median,Accuracy_Median,Sensitivity_Median,Specificity_Median,PPV (Precision)_Median
0.48,"0.631 (0.594, 0.594)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.631,0.978,0.0,1.0,0.0
0.49,"0.631 (0.594, 0.594)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.631,0.978,0.0,1.0,0.0
0.5,"0.631 (0.594, 0.594)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.631,0.978,0.0,1.0,0.0
0.51,"0.631 (0.594, 0.594)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.631,0.978,0.0,1.0,0.0
0.52,"0.631 (0.594, 0.594)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.631,0.978,0.0,1.0,0.0
0.53,"0.631 (0.594, 0.594)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.631,0.978,0.0,1.0,0.0
0.54,"0.631 (0.594, 0.594)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.631,0.978,0.0,1.0,0.0
0.55,"0.631 (0.594, 0.594)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.631,0.978,0.0,1.0,0.0
0.56,"0.631 (0.594, 0.594)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.631,0.978,0.0,1.0,0.0
0.5700000000000001,"0.631 (0.594, 0.594)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.631,0.978,0.0,1.0,0.0
0.58,"0.631 (0.594, 0.594)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.631,0.978,0.0,1.0,0.0
0.59,"0.631 (0.594, 0.594)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.631,0.978,0.0,1.0,0.0
0.6,"0.631 (0.594, 0.594)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.631,0.978,0.0,1.0,0.0
0.61,"0.631 (0.594, 0.594)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.631,0.978,0.0,1.0,0.0
0.62,"0.631 (0.594, 0.594)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.631,0.978,0.0,1.0,0.0
0.63,"0.631 (0.594, 0.594)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.631,0.978,0.0,1.0,0.0
0.64,"0.631 (0.594, 0.594)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.631,0.978,0.0,1.0,0.0
0.65,"0.631 (0.594, 0.594)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.631,0.978,0.0,1.0,0.0
0.66,"0.631 (0.594, 0.594)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.631,0.978,0.0,1.0,0.0
0.67,"0.631 (0.594, 0.594)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.631,0.978,0.0,1.0,0.0
0.68,"0.631 (0.594, 0.594)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.631,0.978,0.0,1.0,0.0
0.6900000000000001,"0.631 (0.594, 0.594)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.631,0.978,0.0,1.0,0.0
0.7000000000000001,"0.631 (0.594, 0.594)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.631,0.978,0.0,1.0,0.0
0.71,"0.631 (0.594, 0.594)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.631,0.978,0.0,1.0,0.0
0.72,"0.631 (0.594, 0.594)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.631,0.978,0.0,1.0,0.0
0.73,"0.631 (0.594, 0.594)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.631,0.978,0.0,1.0,0.0
0.74,"0.631 (0.594, 0.594)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.631,0.978,0.0,1.0,0.0
0.75,"0.631 (0.594, 0.594)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.631,0.978,0.0,1.0,0.0
0.76,"0.631 (0.594, 0.594)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.631,0.978,0.0,1.0,0.0
0.77,"0.631 (0.594, 0.594)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.631,0.978,0.0,1.0,0.0
0.78,"0.631 (0.594, 0.594)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.631,0.978,0.0,1.0,0.0
0.79,"0.631 (0.594, 0.594)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.631,0.978,0.0,1.0,0.0
0.8,"0.631 (0.594, 0.594)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.631,0.978,0.0,1.0,0.0
0.81,"0.631 (0.594, 0.594)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.631,0.978,0.0,1.0,0.0
0.8200000000000001,"0.631 (0.594, 0.594)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.631,0.978,0.0,1.0,0.0
0.8300000000000001,"0.631 (0.594, 0.594)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.631,0.978,0.0,1.0,0.0
0.84,"0.631 (0.594, 0.594)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.631,0.978,0.0,1.0,0.0
0.85,"0.631 (0.594, 0.594)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.631,0.978,0.0,1.0,0.0
0.86,"0.631 (0.594, 0.594)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.631,0.978,0.0,1.0,0.0
0.87,"0.631 (0.594, 0.594)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.631,0.978,0.0,1.0,0.0
0.88,"0.631 (0.594, 0.594)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.631,0.978,0.0,1.0,0.0
0.89,"0.631 (0.594, 0.594)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.631,0.978,0.0,1.0,0.0
0.9,"0.631 (0.594, 0.594)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.631,0.978,0.0,1.0,0.0
0.91,"0.631 (0.594, 0.594)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.631,0.978,0.0,1.0,0.0
0.92,"0.631 (0.594, 0.594)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.631,0.978,0.0,1.0,0.0
0.93,"0.631 (0.594, 0.594)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.631,0.978,0.0,1.0,0.0
0.9400000000000001,"0.631 (0.594, 0.594)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.631,0.978,0.0,1.0,0.0
0.9500000000000001,"0.631 (0.594, 0.594)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.631,0.978,0.0,1.0,0.0
0.96,"0.631 (0.594, 0.594)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.631,0.978,0.0,1.0,0.0
0.97,"0.631 (0.594, 0.594)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.631,0.978,0.0,1.0,0.0
0.98,"0.631 (0.594, 0.594)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.631,0.978,0.0,1.0,0.0
0.99,"0.631 (0.594, 0.594)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.631,0.978,0.0,1.0,0.0
1.0,"0.631 (0.594, 0.594)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.631,0.978,0.0,1.0,0.0
1.01,"0.631 (0.594, 0.594)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.631,0.978,0.0,1.0,0.0
0.0,"0.682 (0.654, 0.654)","0.022 (0.019, 0.019)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)","0.022 (0.019, 0.019)",Logistic Regression w/ rej,0.682,0.022,1.0,0.0,0.022
0.01,"0.682 (0.654, 0.654)","0.163 (0.162, 0.162)","0.866 (0.864, 0.864)","0.147 (0.143, 0.143)","0.023 (0.020, 0.020)",Logistic Regression w/ rej,0.682,0.163,0.866,0.147,0.023
0.02,"0.682 (0.654, 0.654)","0.164 (0.164, 0.164)","0.866 (0.864, 0.864)","0.147 (0.144, 0.144)","0.023 (0.019, 0.019)",Logistic Regression w/ rej,0.682,0.164,0.866,0.147,0.023
0.03,"0.682 (0.654, 0.654)","0.943 (0.940, 0.940)","0.314 (0.255, 0.255)","0.956 (0.954, 0.954)","0.130 (0.107, 0.107)",Logistic Regression w/ rej,0.682,0.943,0.314,0.956,0.13
0.04,"0.682 (0.654, 0.654)","0.955 (0.955, 0.955)","0.275 (0.234, 0.234)","0.972 (0.971, 0.971)","0.182 (0.147, 0.147)",Logistic Regression w/ rej,0.682,0.955,0.275,0.972,0.182
0.05,"0.682 (0.654, 0.654)","0.959 (0.959, 0.959)","0.255 (0.213, 0.213)","0.975 (0.975, 0.975)","0.183 (0.154, 0.154)",Logistic Regression w/ rej,0.682,0.959,0.255,0.975,0.183
0.06,"0.682 (0.654, 0.654)","0.962 (0.961, 0.961)","0.255 (0.213, 0.213)","0.978 (0.978, 0.978)","0.206 (0.167, 0.167)",Logistic Regression w/ rej,0.682,0.962,0.255,0.978,0.206
0.07,"0.682 (0.654, 0.654)","0.963 (0.962, 0.962)","0.235 (0.213, 0.213)","0.979 (0.978, 0.978)","0.207 (0.169, 0.169)",Logistic Regression w/ rej,0.682,0.963,0.235,0.979,0.207
0.08,"0.682 (0.654, 0.654)","0.965 (0.961, 0.961)","0.235 (0.213, 0.213)","0.981 (0.980, 0.980)","0.235 (0.182, 0.182)",Logistic Regression w/ rej,0.682,0.965,0.235,0.981,0.235
0.09,"0.682 (0.654, 0.654)","0.975 (0.974, 0.974)","0.059 (0.023, 0.023)","0.994 (0.993, 0.993)","0.214 (0.067, 0.067)",Logistic Regression w/ rej,0.682,0.975,0.059,0.994,0.214
0.1,"0.682 (0.654, 0.654)","0.976 (0.975, 0.975)","0.059 (0.023, 0.023)","0.996 (0.995, 0.995)","0.250 (0.091, 0.091)",Logistic Regression w/ rej,0.682,0.976,0.059,0.996,0.25
0.11,"0.682 (0.654, 0.654)","0.977 (0.974, 0.974)","0.015 (0.000, 0.000)","0.997 (0.997, 0.997)","0.100 (0.000, 0.000)",Logistic Regression w/ rej,0.682,0.977,0.015,0.997,0.1
0.12,"0.682 (0.654, 0.654)","0.976 (0.975, 0.975)","0.015 (0.000, 0.000)","0.997 (0.997, 0.997)","0.125 (0.000, 0.000)",Logistic Regression w/ rej,0.682,0.976,0.015,0.997,0.125
0.13,"0.682 (0.654, 0.654)","0.977 (0.975, 0.975)","0.015 (0.000, 0.000)","0.998 (0.997, 0.997)","0.143 (0.000, 0.000)",Logistic Regression w/ rej,0.682,0.977,0.015,0.998,0.143
0.14,"0.682 (0.654, 0.654)","0.978 (0.975, 0.975)","0.015 (0.000, 0.000)","0.998 (0.998, 0.998)","0.167 (0.000, 0.000)",Logistic Regression w/ rej,0.682,0.978,0.015,0.998,0.167
0.15,"0.682 (0.654, 0.654)","0.978 (0.976, 0.976)","0.015 (0.000, 0.000)","0.998 (0.998, 0.998)","0.167 (0.000, 0.000)",Logistic Regression w/ rej,0.682,0.978,0.015,0.998,0.167
0.16,"0.682 (0.654, 0.654)","0.978 (0.976, 0.976)","0.015 (0.000, 0.000)","0.999 (0.998, 0.998)","0.167 (0.000, 0.000)",Logistic Regression w/ rej,0.682,0.978,0.015,0.999,0.167
0.17,"0.682 (0.654, 0.654)","0.978 (0.977, 0.977)","0.015 (0.000, 0.000)","0.999 (0.998, 0.998)","0.167 (0.000, 0.000)",Logistic Regression w/ rej,0.682,0.978,0.015,0.999,0.167
0.18,"0.682 (0.654, 0.654)","0.978 (0.977, 0.977)","0.015 (0.000, 0.000)","0.999 (0.998, 0.998)","0.200 (0.000, 0.000)",Logistic Regression w/ rej,0.682,0.978,0.015,0.999,0.2
0.19,"0.682 (0.654, 0.654)","0.978 (0.977, 0.977)","0.015 (0.000, 0.000)","0.999 (0.998, 0.998)","0.200 (0.000, 0.000)",Logistic Regression w/ rej,0.682,0.978,0.015,0.999,0.2
0.2,"0.682 (0.654, 0.654)","0.978 (0.977, 0.977)","0.015 (0.000, 0.000)","0.999 (0.998, 0.998)","0.200 (0.000, 0.000)",Logistic Regression w/ rej,0.682,0.978,0.015,0.999,0.2
0.21,"0.682 (0.654, 0.654)","0.978 (0.977, 0.977)","0.015 (0.000, 0.000)","0.999 (0.998, 0.998)","0.200 (0.000, 0.000)",Logistic Regression w/ rej,0.682,0.978,0.015,0.999,0.2
0.22,"0.682 (0.654, 0.654)","0.978 (0.977, 0.977)","0.015 (0.000, 0.000)","0.999 (0.999, 0.999)","0.250 (0.000, 0.000)",Logistic Regression w/ rej,0.682,0.978,0.015,0.999,0.25
0.23,"0.682 (0.654, 0.654)","0.978 (0.977, 0.977)","0.015 (0.000, 0.000)","0.999 (0.999, 0.999)","0.250 (0.000, 0.000)",Logistic Regression w/ rej,0.682,0.978,0.015,0.999,0.25
0.24,"0.682 (0.654, 0.654)","0.978 (0.977, 0.977)","0.015 (0.000, 0.000)","0.999 (0.999, 0.999)","0.250 (0.000, 0.000)",Logistic Regression w/ rej,0.682,0.978,0.015,0.999,0.25
0.25,"0.682 (0.654, 0.654)","0.978 (0.977, 0.977)","0.015 (0.000, 0.000)","0.999 (0.999, 0.999)","0.250 (0.000, 0.000)",Logistic Regression w/ rej,0.682,0.978,0.015,0.999,0.25
0.26,"0.682 (0.654, 0.654)","0.978 (0.977, 0.977)","0.015 (0.000, 0.000)","0.999 (0.999, 0.999)","0.333 (0.000, 0.000)",Logistic Regression w/ rej,0.682,0.978,0.015,0.999,0.333
0.27,"0.682 (0.654, 0.654)","0.978 (0.977, 0.977)","0.015 (0.000, 0.000)","1.000 (0.999, 0.999)","0.500 (0.000, 0.000)",Logistic Regression w/ rej,0.682,0.978,0.015,1.0,0.5
0.28,"0.682 (0.654, 0.654)","0.978 (0.977, 0.977)","0.000 (0.000, 0.000)","1.000 (0.999, 0.999)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.682,0.978,0.0,1.0,0.0
0.29,"0.682 (0.654, 0.654)","0.978 (0.977, 0.977)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.682,0.978,0.0,1.0,0.0
0.3,"0.682 (0.654, 0.654)","0.978 (0.977, 0.977)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.682,0.978,0.0,1.0,0.0
0.31,"0.682 (0.654, 0.654)","0.978 (0.977, 0.977)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.682,0.978,0.0,1.0,0.0
0.32,"0.682 (0.654, 0.654)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.682,0.978,0.0,1.0,0.0
0.33,"0.682 (0.654, 0.654)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.682,0.978,0.0,1.0,0.0
0.34,"0.682 (0.654, 0.654)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.682,0.978,0.0,1.0,0.0
0.35000000000000003,"0.682 (0.654, 0.654)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.682,0.978,0.0,1.0,0.0
0.36,"0.682 (0.654, 0.654)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.682,0.978,0.0,1.0,0.0
0.37,"0.682 (0.654, 0.654)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.682,0.978,0.0,1.0,0.0
0.38,"0.682 (0.654, 0.654)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.682,0.978,0.0,1.0,0.0
0.39,"0.682 (0.654, 0.654)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.682,0.978,0.0,1.0,0.0
0.4,"0.682 (0.654, 0.654)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.682,0.978,0.0,1.0,0.0
0.41000000000000003,"0.682 (0.654, 0.654)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.682,0.978,0.0,1.0,0.0
0.42,"0.682 (0.654, 0.654)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.682,0.978,0.0,1.0,0.0
0.43,"0.682 (0.654, 0.654)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.682,0.978,0.0,1.0,0.0
0.44,"0.682 (0.654, 0.654)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.682,0.978,0.0,1.0,0.0
0.45,"0.682 (0.654, 0.654)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.682,0.978,0.0,1.0,0.0
0.46,"0.682 (0.654, 0.654)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.682,0.978,0.0,1.0,0.0
0.47000000000000003,"0.682 (0.654, 0.654)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.682,0.978,0.0,1.0,0.0
0.48,"0.682 (0.654, 0.654)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.682,0.978,0.0,1.0,0.0
0.49,"0.682 (0.654, 0.654)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.682,0.978,0.0,1.0,0.0
0.5,"0.682 (0.654, 0.654)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.682,0.978,0.0,1.0,0.0
0.51,"0.682 (0.654, 0.654)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.682,0.978,0.0,1.0,0.0
0.52,"0.682 (0.654, 0.654)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.682,0.978,0.0,1.0,0.0
0.53,"0.682 (0.654, 0.654)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.682,0.978,0.0,1.0,0.0
0.54,"0.682 (0.654, 0.654)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.682,0.978,0.0,1.0,0.0
0.55,"0.682 (0.654, 0.654)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.682,0.978,0.0,1.0,0.0
0.56,"0.682 (0.654, 0.654)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.682,0.978,0.0,1.0,0.0
0.5700000000000001,"0.682 (0.654, 0.654)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.682,0.978,0.0,1.0,0.0
0.58,"0.682 (0.654, 0.654)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.682,0.978,0.0,1.0,0.0
0.59,"0.682 (0.654, 0.654)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.682,0.978,0.0,1.0,0.0
0.6,"0.682 (0.654, 0.654)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.682,0.978,0.0,1.0,0.0
0.61,"0.682 (0.654, 0.654)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.682,0.978,0.0,1.0,0.0
0.62,"0.682 (0.654, 0.654)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.682,0.978,0.0,1.0,0.0
0.63,"0.682 (0.654, 0.654)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.682,0.978,0.0,1.0,0.0
0.64,"0.682 (0.654, 0.654)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.682,0.978,0.0,1.0,0.0
0.65,"0.682 (0.654, 0.654)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.682,0.978,0.0,1.0,0.0
0.66,"0.682 (0.654, 0.654)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.682,0.978,0.0,1.0,0.0
0.67,"0.682 (0.654, 0.654)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.682,0.978,0.0,1.0,0.0
0.68,"0.682 (0.654, 0.654)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.682,0.978,0.0,1.0,0.0
0.6900000000000001,"0.682 (0.654, 0.654)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression w/ rej,0.682,0.978,0.0,1.0,0.0
