Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Source
0.55,"0.676 (0.662, 0.662)","0.971 (0.970, 0.970)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.56,"0.676 (0.662, 0.662)","0.971 (0.970, 0.970)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.5700000000000001,"0.676 (0.662, 0.662)","0.971 (0.970, 0.970)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.58,"0.676 (0.662, 0.662)","0.971 (0.970, 0.970)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.59,"0.676 (0.662, 0.662)","0.971 (0.970, 0.970)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.6,"0.676 (0.662, 0.662)","0.971 (0.970, 0.970)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.61,"0.676 (0.662, 0.662)","0.971 (0.970, 0.970)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.62,"0.676 (0.662, 0.662)","0.971 (0.970, 0.970)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.63,"0.676 (0.662, 0.662)","0.971 (0.970, 0.970)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.64,"0.676 (0.662, 0.662)","0.971 (0.970, 0.970)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.65,"0.676 (0.662, 0.662)","0.971 (0.970, 0.970)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.66,"0.676 (0.662, 0.662)","0.971 (0.970, 0.970)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.67,"0.676 (0.662, 0.662)","0.971 (0.970, 0.970)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.68,"0.676 (0.662, 0.662)","0.971 (0.970, 0.970)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.6900000000000001,"0.676 (0.662, 0.662)","0.971 (0.970, 0.970)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.7000000000000001,"0.676 (0.662, 0.662)","0.971 (0.970, 0.970)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.71,"0.676 (0.662, 0.662)","0.971 (0.970, 0.970)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.72,"0.676 (0.662, 0.662)","0.971 (0.970, 0.970)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.73,"0.676 (0.662, 0.662)","0.971 (0.970, 0.970)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.74,"0.676 (0.662, 0.662)","0.971 (0.970, 0.970)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.75,"0.676 (0.662, 0.662)","0.971 (0.970, 0.970)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.76,"0.676 (0.662, 0.662)","0.971 (0.970, 0.970)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.77,"0.676 (0.662, 0.662)","0.971 (0.970, 0.970)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.78,"0.676 (0.662, 0.662)","0.971 (0.970, 0.970)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.79,"0.676 (0.662, 0.662)","0.971 (0.970, 0.970)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.8,"0.676 (0.662, 0.662)","0.971 (0.970, 0.970)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.81,"0.676 (0.662, 0.662)","0.971 (0.970, 0.970)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.8200000000000001,"0.676 (0.662, 0.662)","0.971 (0.970, 0.970)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.8300000000000001,"0.676 (0.662, 0.662)","0.971 (0.970, 0.970)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.84,"0.676 (0.662, 0.662)","0.971 (0.970, 0.970)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.85,"0.676 (0.662, 0.662)","0.971 (0.970, 0.970)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.86,"0.676 (0.662, 0.662)","0.971 (0.970, 0.970)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.87,"0.676 (0.662, 0.662)","0.971 (0.970, 0.970)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.88,"0.676 (0.662, 0.662)","0.971 (0.970, 0.970)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.89,"0.676 (0.662, 0.662)","0.971 (0.970, 0.970)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.9,"0.676 (0.662, 0.662)","0.971 (0.970, 0.970)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.91,"0.676 (0.662, 0.662)","0.971 (0.970, 0.970)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.92,"0.676 (0.662, 0.662)","0.971 (0.970, 0.970)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.93,"0.676 (0.662, 0.662)","0.971 (0.970, 0.970)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.9400000000000001,"0.676 (0.662, 0.662)","0.971 (0.970, 0.970)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.9500000000000001,"0.676 (0.662, 0.662)","0.971 (0.970, 0.970)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.96,"0.676 (0.662, 0.662)","0.971 (0.970, 0.970)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.97,"0.676 (0.662, 0.662)","0.971 (0.970, 0.970)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.98,"0.676 (0.662, 0.662)","0.971 (0.970, 0.970)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.99,"0.676 (0.662, 0.662)","0.971 (0.970, 0.970)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
1.0,"0.676 (0.662, 0.662)","0.971 (0.970, 0.970)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
1.01,"0.676 (0.662, 0.662)","0.971 (0.970, 0.970)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.0,"0.659 (0.602, 0.602)","0.069 (0.058, 0.058)","0.985 (0.968, 0.968)","0.042 (0.036, 0.036)","0.030 (0.023, 0.023)",AlloSure
0.01,"0.659 (0.602, 0.602)","0.128 (0.127, 0.127)","0.931 (0.917, 0.917)","0.104 (0.104, 0.104)","0.030 (0.022, 0.022)",AlloSure
0.02,"0.659 (0.602, 0.602)","0.210 (0.208, 0.208)","0.893 (0.903, 0.903)","0.189 (0.185, 0.185)","0.032 (0.024, 0.024)",AlloSure
0.03,"0.659 (0.602, 0.602)","0.297 (0.283, 0.283)","0.888 (0.903, 0.903)","0.279 (0.263, 0.263)","0.036 (0.027, 0.027)",AlloSure
0.04,"0.659 (0.602, 0.602)","0.370 (0.363, 0.363)","0.799 (0.792, 0.792)","0.357 (0.348, 0.348)","0.036 (0.026, 0.026)",AlloSure
0.05,"0.659 (0.602, 0.602)","0.442 (0.441, 0.441)","0.769 (0.750, 0.750)","0.432 (0.432, 0.432)","0.039 (0.029, 0.029)",AlloSure
0.06,"0.659 (0.602, 0.602)","0.496 (0.493, 0.493)","0.706 (0.625, 0.625)","0.490 (0.488, 0.488)","0.040 (0.030, 0.030)",AlloSure
0.07,"0.659 (0.602, 0.602)","0.550 (0.550, 0.550)","0.678 (0.625, 0.625)","0.545 (0.549, 0.549)","0.043 (0.032, 0.032)",AlloSure
0.08,"0.659 (0.602, 0.602)","0.590 (0.593, 0.593)","0.631 (0.583, 0.583)","0.588 (0.589, 0.589)","0.044 (0.033, 0.033)",AlloSure
0.09,"0.659 (0.602, 0.602)","0.629 (0.628, 0.628)","0.596 (0.542, 0.542)","0.629 (0.631, 0.631)","0.046 (0.034, 0.034)",AlloSure
0.1,"0.659 (0.602, 0.602)","0.660 (0.659, 0.659)","0.574 (0.542, 0.542)","0.662 (0.660, 0.660)","0.049 (0.037, 0.037)",AlloSure
0.11,"0.659 (0.602, 0.602)","0.681 (0.681, 0.681)","0.568 (0.542, 0.542)","0.684 (0.685, 0.685)","0.052 (0.039, 0.039)",AlloSure
0.12,"0.659 (0.602, 0.602)","0.700 (0.698, 0.698)","0.564 (0.542, 0.542)","0.704 (0.700, 0.700)","0.054 (0.041, 0.041)",AlloSure
0.13,"0.659 (0.602, 0.602)","0.717 (0.713, 0.713)","0.555 (0.542, 0.542)","0.721 (0.715, 0.715)","0.056 (0.044, 0.044)",AlloSure
0.14,"0.659 (0.602, 0.602)","0.730 (0.725, 0.725)","0.512 (0.458, 0.458)","0.736 (0.731, 0.731)","0.055 (0.039, 0.039)",AlloSure
0.15,"0.659 (0.602, 0.602)","0.744 (0.736, 0.736)","0.500 (0.417, 0.417)","0.751 (0.744, 0.744)","0.057 (0.037, 0.037)",AlloSure
0.16,"0.659 (0.602, 0.602)","0.759 (0.747, 0.747)","0.495 (0.417, 0.417)","0.767 (0.755, 0.755)","0.060 (0.039, 0.039)",AlloSure
