Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Source,AUC_Median,Accuracy_Median,Sensitivity_Median,Specificity_Median,PPV (Precision)_Median
0.3,"0.704 (0.635, 0.635)","0.854 (0.851, 0.851)","0.358 (0.262, 0.262)","0.867 (0.866, 0.866)","0.060 (0.053, 0.053)",AlloSure,0.704,0.854,0.358,0.867,0.06
0.31,"0.704 (0.635, 0.635)","0.855 (0.854, 0.854)","0.358 (0.262, 0.262)","0.871 (0.867, 0.867)","0.063 (0.054, 0.054)",AlloSure,0.704,0.855,0.358,0.871,0.063
0.32,"0.704 (0.635, 0.635)","0.858 (0.856, 0.856)","0.358 (0.262, 0.262)","0.873 (0.871, 0.871)","0.060 (0.056, 0.056)",AlloSure,0.704,0.858,0.358,0.873,0.06
0.33,"0.704 (0.635, 0.635)","0.861 (0.858, 0.858)","0.358 (0.262, 0.262)","0.875 (0.874, 0.874)","0.063 (0.056, 0.056)",AlloSure,0.704,0.861,0.358,0.875,0.063
0.34,"0.704 (0.635, 0.635)","0.865 (0.861, 0.861)","0.358 (0.246, 0.246)","0.879 (0.877, 0.877)","0.065 (0.055, 0.055)",AlloSure,0.704,0.865,0.358,0.879,0.065
0.35000000000000003,"0.704 (0.635, 0.635)","0.868 (0.862, 0.862)","0.340 (0.246, 0.246)","0.880 (0.880, 0.880)","0.066 (0.055, 0.055)",AlloSure,0.704,0.868,0.34,0.88,0.066
0.36,"0.704 (0.635, 0.635)","0.871 (0.866, 0.866)","0.340 (0.246, 0.246)","0.884 (0.883, 0.883)","0.065 (0.057, 0.057)",AlloSure,0.704,0.871,0.34,0.884,0.065
0.37,"0.704 (0.635, 0.635)","0.874 (0.867, 0.867)","0.340 (0.246, 0.246)","0.886 (0.885, 0.885)","0.066 (0.057, 0.057)",AlloSure,0.704,0.874,0.34,0.886,0.066
0.38,"0.704 (0.635, 0.635)","0.875 (0.869, 0.869)","0.340 (0.246, 0.246)","0.887 (0.887, 0.887)","0.067 (0.058, 0.058)",AlloSure,0.704,0.875,0.34,0.887,0.067
0.39,"0.704 (0.635, 0.635)","0.877 (0.872, 0.872)","0.340 (0.246, 0.246)","0.890 (0.889, 0.889)","0.069 (0.060, 0.060)",AlloSure,0.704,0.877,0.34,0.89,0.069
0.4,"0.704 (0.635, 0.635)","0.878 (0.873, 0.873)","0.340 (0.246, 0.246)","0.891 (0.891, 0.891)","0.070 (0.060, 0.060)",AlloSure,0.704,0.878,0.34,0.891,0.07
0.41000000000000003,"0.704 (0.635, 0.635)","0.878 (0.875, 0.875)","0.340 (0.246, 0.246)","0.892 (0.891, 0.891)","0.072 (0.061, 0.061)",AlloSure,0.704,0.878,0.34,0.892,0.072
0.42,"0.704 (0.635, 0.635)","0.880 (0.877, 0.877)","0.340 (0.246, 0.246)","0.895 (0.893, 0.893)","0.074 (0.062, 0.062)",AlloSure,0.704,0.88,0.34,0.895,0.074
0.43,"0.704 (0.635, 0.635)","0.881 (0.877, 0.877)","0.340 (0.246, 0.246)","0.895 (0.894, 0.894)","0.075 (0.062, 0.062)",AlloSure,0.704,0.881,0.34,0.895,0.075
0.44,"0.704 (0.635, 0.635)","0.883 (0.879, 0.879)","0.340 (0.246, 0.246)","0.897 (0.896, 0.896)","0.076 (0.063, 0.063)",AlloSure,0.704,0.883,0.34,0.897,0.076
0.45,"0.704 (0.635, 0.635)","0.885 (0.881, 0.881)","0.304 (0.246, 0.246)","0.899 (0.898, 0.898)","0.068 (0.065, 0.065)",AlloSure,0.704,0.885,0.304,0.899,0.068
0.46,"0.704 (0.635, 0.635)","0.886 (0.883, 0.883)","0.304 (0.246, 0.246)","0.901 (0.899, 0.899)","0.069 (0.066, 0.066)",AlloSure,0.704,0.886,0.304,0.901,0.069
0.47000000000000003,"0.704 (0.635, 0.635)","0.889 (0.885, 0.885)","0.304 (0.246, 0.246)","0.903 (0.903, 0.903)","0.072 (0.067, 0.067)",AlloSure,0.704,0.889,0.304,0.903,0.072
0.48,"0.704 (0.635, 0.635)","0.891 (0.886, 0.886)","0.304 (0.246, 0.246)","0.905 (0.905, 0.905)","0.074 (0.068, 0.068)",AlloSure,0.704,0.891,0.304,0.905,0.074
0.49,"0.704 (0.635, 0.635)","0.893 (0.888, 0.888)","0.304 (0.246, 0.246)","0.907 (0.906, 0.906)","0.071 (0.069, 0.069)",AlloSure,0.704,0.893,0.304,0.907,0.071
0.5,"0.704 (0.635, 0.635)","0.894 (0.889, 0.889)","0.304 (0.246, 0.246)","0.908 (0.907, 0.907)","0.072 (0.070, 0.070)",AlloSure,0.704,0.894,0.304,0.908,0.072
0.51,"0.704 (0.635, 0.635)","0.894 (0.891, 0.891)","0.283 (0.246, 0.246)","0.910 (0.908, 0.908)","0.072 (0.071, 0.071)",AlloSure,0.704,0.894,0.283,0.91,0.072
0.52,"0.704 (0.635, 0.635)","0.895 (0.893, 0.893)","0.261 (0.246, 0.246)","0.912 (0.909, 0.909)","0.073 (0.067, 0.067)",AlloSure,0.704,0.895,0.261,0.912,0.073
0.53,"0.704 (0.635, 0.635)","0.896 (0.895, 0.895)","0.261 (0.246, 0.246)","0.914 (0.911, 0.911)","0.072 (0.069, 0.069)",AlloSure,0.704,0.896,0.261,0.914,0.072
0.54,"0.704 (0.635, 0.635)","0.898 (0.897, 0.897)","0.261 (0.246, 0.246)","0.915 (0.912, 0.912)","0.069 (0.069, 0.069)",AlloSure,0.704,0.898,0.261,0.915,0.069
0.55,"0.704 (0.635, 0.635)","0.901 (0.897, 0.897)","0.261 (0.246, 0.246)","0.916 (0.915, 0.915)","0.071 (0.071, 0.071)",AlloSure,0.704,0.901,0.261,0.916,0.071
0.56,"0.704 (0.635, 0.635)","0.902 (0.899, 0.899)","0.261 (0.246, 0.246)","0.917 (0.917, 0.917)","0.073 (0.072, 0.072)",AlloSure,0.704,0.902,0.261,0.917,0.073
0.5700000000000001,"0.704 (0.635, 0.635)","0.904 (0.899, 0.899)","0.261 (0.246, 0.246)","0.919 (0.918, 0.918)","0.074 (0.073, 0.073)",AlloSure,0.704,0.904,0.261,0.919,0.074
0.58,"0.704 (0.635, 0.635)","0.906 (0.900, 0.900)","0.261 (0.246, 0.246)","0.920 (0.919, 0.919)","0.075 (0.074, 0.074)",AlloSure,0.704,0.906,0.261,0.92,0.075
0.59,"0.704 (0.635, 0.635)","0.908 (0.901, 0.901)","0.246 (0.245, 0.245)","0.923 (0.919, 0.919)","0.076 (0.074, 0.074)",AlloSure,0.704,0.908,0.246,0.923,0.076
0.6,"0.704 (0.635, 0.635)","0.908 (0.903, 0.903)","0.245 (0.230, 0.230)","0.923 (0.922, 0.922)","0.077 (0.071, 0.071)",AlloSure,0.704,0.908,0.245,0.923,0.077
0.61,"0.704 (0.635, 0.635)","0.909 (0.904, 0.904)","0.245 (0.230, 0.230)","0.924 (0.923, 0.923)","0.078 (0.071, 0.071)",AlloSure,0.704,0.909,0.245,0.924,0.078
0.62,"0.704 (0.635, 0.635)","0.910 (0.904, 0.904)","0.226 (0.213, 0.213)","0.925 (0.923, 0.923)","0.073 (0.067, 0.067)",AlloSure,0.704,0.91,0.226,0.925,0.073
0.63,"0.704 (0.635, 0.635)","0.910 (0.904, 0.904)","0.226 (0.213, 0.213)","0.925 (0.923, 0.923)","0.073 (0.067, 0.067)",AlloSure,0.704,0.91,0.226,0.925,0.073
0.64,"0.704 (0.635, 0.635)","0.910 (0.904, 0.904)","0.226 (0.213, 0.213)","0.925 (0.924, 0.924)","0.073 (0.063, 0.063)",AlloSure,0.704,0.91,0.226,0.925,0.073
0.65,"0.704 (0.635, 0.635)","0.911 (0.905, 0.905)","0.226 (0.213, 0.213)","0.926 (0.925, 0.925)","0.074 (0.064, 0.064)",AlloSure,0.704,0.911,0.226,0.926,0.074
0.66,"0.704 (0.635, 0.635)","0.913 (0.905, 0.905)","0.213 (0.211, 0.211)","0.928 (0.925, 0.925)","0.070 (0.060, 0.060)",AlloSure,0.704,0.913,0.213,0.928,0.07
0.67,"0.704 (0.635, 0.635)","0.914 (0.907, 0.907)","0.213 (0.211, 0.211)","0.929 (0.926, 0.926)","0.070 (0.061, 0.061)",AlloSure,0.704,0.914,0.213,0.929,0.07
0.68,"0.704 (0.635, 0.635)","0.915 (0.907, 0.907)","0.213 (0.211, 0.211)","0.930 (0.926, 0.926)","0.070 (0.061, 0.061)",AlloSure,0.704,0.915,0.213,0.93,0.07
0.6900000000000001,"0.704 (0.635, 0.635)","0.918 (0.907, 0.907)","0.213 (0.211, 0.211)","0.933 (0.927, 0.927)","0.071 (0.062, 0.062)",AlloSure,0.704,0.918,0.213,0.933,0.071
0.7000000000000001,"0.704 (0.635, 0.635)","0.918 (0.908, 0.908)","0.213 (0.211, 0.211)","0.933 (0.928, 0.928)","0.073 (0.062, 0.062)",AlloSure,0.704,0.918,0.213,0.933,0.073
0.71,"0.704 (0.635, 0.635)","0.920 (0.910, 0.910)","0.213 (0.211, 0.211)","0.935 (0.930, 0.930)","0.076 (0.062, 0.062)",AlloSure,0.704,0.92,0.213,0.935,0.076
0.72,"0.704 (0.635, 0.635)","0.921 (0.911, 0.911)","0.211 (0.197, 0.197)","0.936 (0.931, 0.931)","0.075 (0.063, 0.063)",AlloSure,0.704,0.921,0.211,0.936,0.075
0.73,"0.704 (0.635, 0.635)","0.923 (0.912, 0.912)","0.211 (0.197, 0.197)","0.938 (0.932, 0.932)","0.076 (0.063, 0.063)",AlloSure,0.704,0.923,0.211,0.938,0.076
0.74,"0.704 (0.635, 0.635)","0.923 (0.912, 0.912)","0.197 (0.196, 0.196)","0.938 (0.932, 0.932)","0.071 (0.064, 0.064)",AlloSure,0.704,0.923,0.197,0.938,0.071
0.75,"0.704 (0.635, 0.635)","0.924 (0.913, 0.913)","0.197 (0.196, 0.196)","0.939 (0.933, 0.933)","0.073 (0.065, 0.065)",AlloSure,0.704,0.924,0.197,0.939,0.073
0.76,"0.704 (0.635, 0.635)","0.926 (0.913, 0.913)","0.197 (0.196, 0.196)","0.941 (0.934, 0.934)","0.075 (0.065, 0.065)",AlloSure,0.704,0.926,0.197,0.941,0.075
0.77,"0.704 (0.635, 0.635)","0.926 (0.913, 0.913)","0.197 (0.196, 0.196)","0.942 (0.934, 0.934)","0.077 (0.066, 0.066)",AlloSure,0.704,0.926,0.197,0.942,0.077
0.78,"0.704 (0.635, 0.635)","0.927 (0.915, 0.915)","0.197 (0.196, 0.196)","0.942 (0.935, 0.935)","0.078 (0.066, 0.066)",AlloSure,0.704,0.927,0.197,0.942,0.078
0.79,"0.704 (0.635, 0.635)","0.929 (0.915, 0.915)","0.197 (0.196, 0.196)","0.944 (0.935, 0.935)","0.079 (0.066, 0.066)",AlloSure,0.704,0.929,0.197,0.944,0.079
0.8,"0.704 (0.635, 0.635)","0.930 (0.916, 0.916)","0.196 (0.189, 0.189)","0.945 (0.936, 0.936)","0.081 (0.067, 0.067)",AlloSure,0.704,0.93,0.196,0.945,0.081
0.81,"0.704 (0.635, 0.635)","0.932 (0.916, 0.916)","0.196 (0.189, 0.189)","0.947 (0.936, 0.936)","0.081 (0.067, 0.067)",AlloSure,0.704,0.932,0.196,0.947,0.081
0.8200000000000001,"0.704 (0.635, 0.635)","0.932 (0.916, 0.916)","0.189 (0.174, 0.174)","0.947 (0.937, 0.937)","0.075 (0.067, 0.067)",AlloSure,0.704,0.932,0.189,0.947,0.075
0.8300000000000001,"0.704 (0.635, 0.635)","0.933 (0.917, 0.917)","0.189 (0.174, 0.174)","0.948 (0.938, 0.938)","0.075 (0.069, 0.069)",AlloSure,0.704,0.933,0.189,0.948,0.075
0.84,"0.704 (0.635, 0.635)","0.934 (0.917, 0.917)","0.189 (0.174, 0.174)","0.949 (0.938, 0.938)","0.077 (0.070, 0.070)",AlloSure,0.704,0.934,0.189,0.949,0.077
0.85,"0.704 (0.635, 0.635)","0.936 (0.918, 0.918)","0.189 (0.174, 0.174)","0.951 (0.939, 0.939)","0.077 (0.071, 0.071)",AlloSure,0.704,0.936,0.189,0.951,0.077
0.86,"0.704 (0.635, 0.635)","0.937 (0.919, 0.919)","0.174 (0.170, 0.170)","0.953 (0.939, 0.939)","0.077 (0.071, 0.071)",AlloSure,0.704,0.937,0.174,0.953,0.077
0.87,"0.704 (0.635, 0.635)","0.939 (0.920, 0.920)","0.174 (0.170, 0.170)","0.954 (0.940, 0.940)","0.078 (0.073, 0.073)",AlloSure,0.704,0.939,0.174,0.954,0.078
0.88,"0.704 (0.635, 0.635)","0.939 (0.921, 0.921)","0.174 (0.170, 0.170)","0.954 (0.941, 0.941)","0.078 (0.073, 0.073)",AlloSure,0.704,0.939,0.174,0.954,0.078
0.89,"0.704 (0.635, 0.635)","0.940 (0.921, 0.921)","0.174 (0.170, 0.170)","0.955 (0.942, 0.942)","0.078 (0.074, 0.074)",AlloSure,0.704,0.94,0.174,0.955,0.078
0.9,"0.704 (0.635, 0.635)","0.940 (0.922, 0.922)","0.174 (0.170, 0.170)","0.956 (0.942, 0.942)","0.079 (0.075, 0.075)",AlloSure,0.704,0.94,0.174,0.956,0.079
0.91,"0.704 (0.635, 0.635)","0.940 (0.922, 0.922)","0.174 (0.170, 0.170)","0.956 (0.942, 0.942)","0.081 (0.075, 0.075)",AlloSure,0.704,0.94,0.174,0.956,0.081
0.92,"0.704 (0.635, 0.635)","0.941 (0.922, 0.922)","0.174 (0.170, 0.170)","0.957 (0.942, 0.942)","0.083 (0.076, 0.076)",AlloSure,0.704,0.941,0.174,0.957,0.083
0.93,"0.704 (0.635, 0.635)","0.942 (0.923, 0.923)","0.174 (0.170, 0.170)","0.958 (0.944, 0.944)","0.083 (0.077, 0.077)",AlloSure,0.704,0.942,0.174,0.958,0.083
0.9400000000000001,"0.704 (0.635, 0.635)","0.943 (0.925, 0.925)","0.174 (0.170, 0.170)","0.958 (0.946, 0.946)","0.084 (0.077, 0.077)",AlloSure,0.704,0.943,0.174,0.958,0.084
0.9500000000000001,"0.704 (0.635, 0.635)","0.944 (0.926, 0.926)","0.174 (0.170, 0.170)","0.959 (0.947, 0.947)","0.086 (0.077, 0.077)",AlloSure,0.704,0.944,0.174,0.959,0.086
0.96,"0.704 (0.635, 0.635)","0.944 (0.927, 0.927)","0.174 (0.151, 0.151)","0.960 (0.947, 0.947)","0.086 (0.079, 0.079)",AlloSure,0.704,0.944,0.174,0.96,0.086
0.97,"0.704 (0.635, 0.635)","0.944 (0.927, 0.927)","0.174 (0.132, 0.132)","0.960 (0.947, 0.947)","0.087 (0.081, 0.081)",AlloSure,0.704,0.944,0.174,0.96,0.087
0.98,"0.704 (0.635, 0.635)","0.945 (0.927, 0.927)","0.174 (0.113, 0.113)","0.961 (0.948, 0.948)","0.082 (0.079, 0.079)",AlloSure,0.704,0.945,0.174,0.961,0.082
0.99,"0.704 (0.635, 0.635)","0.945 (0.927, 0.927)","0.174 (0.113, 0.113)","0.961 (0.948, 0.948)","0.082 (0.081, 0.081)",AlloSure,0.704,0.945,0.174,0.961,0.082
1.0,"0.704 (0.635, 0.635)","0.946 (0.928, 0.928)","0.174 (0.113, 0.113)","0.962 (0.948, 0.948)","0.083 (0.081, 0.081)",AlloSure,0.704,0.946,0.174,0.962,0.083
1.01,"0.704 (0.635, 0.635)","0.946 (0.928, 0.928)","0.174 (0.113, 0.113)","0.963 (0.948, 0.948)","0.083 (0.082, 0.082)",AlloSure,0.704,0.946,0.174,0.963,0.083
0.0,"0.659 (0.593, 0.593)","0.024 (0.021, 0.021)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)","0.024 (0.021, 0.021)",Logistic Regression,0.659,0.024,1.0,0.0,0.024
0.01,"0.659 (0.593, 0.593)","0.025 (0.021, 0.021)","1.000 (0.978, 0.978)","0.001 (0.000, 0.000)","0.024 (0.021, 0.021)",Logistic Regression,0.659,0.025,1.0,0.001,0.024
0.02,"0.659 (0.593, 0.593)","0.318 (0.305, 0.305)","0.780 (0.772, 0.772)","0.306 (0.296, 0.296)","0.027 (0.024, 0.024)",Logistic Regression,0.659,0.318,0.78,0.306,0.027
0.03,"0.659 (0.593, 0.593)","0.948 (0.929, 0.929)","0.148 (0.132, 0.132)","0.963 (0.951, 0.951)","0.081 (0.079, 0.079)",Logistic Regression,0.659,0.948,0.148,0.963,0.081
0.04,"0.659 (0.593, 0.593)","0.967 (0.956, 0.956)","0.098 (0.082, 0.082)","0.986 (0.979, 0.979)","0.103 (0.100, 0.100)",Logistic Regression,0.659,0.967,0.098,0.986,0.103
0.05,"0.659 (0.593, 0.593)","0.972 (0.961, 0.961)","0.070 (0.033, 0.033)","0.989 (0.986, 0.986)","0.095 (0.062, 0.062)",Logistic Regression,0.659,0.972,0.07,0.989,0.095
0.06,"0.659 (0.593, 0.593)","0.973 (0.965, 0.965)","0.053 (0.016, 0.016)","0.991 (0.991, 0.991)","0.097 (0.048, 0.048)",Logistic Regression,0.659,0.973,0.053,0.991,0.097
0.07,"0.659 (0.593, 0.593)","0.974 (0.966, 0.966)","0.053 (0.016, 0.016)","0.994 (0.992, 0.992)","0.111 (0.053, 0.053)",Logistic Regression,0.659,0.974,0.053,0.994,0.111
0.08,"0.659 (0.593, 0.593)","0.975 (0.969, 0.969)","0.022 (0.016, 0.016)","0.995 (0.992, 0.992)","0.136 (0.056, 0.056)",Logistic Regression,0.659,0.975,0.022,0.995,0.136
0.09,"0.659 (0.593, 0.593)","0.975 (0.970, 0.970)","0.022 (0.016, 0.016)","0.996 (0.993, 0.993)","0.158 (0.067, 0.067)",Logistic Regression,0.659,0.975,0.022,0.996,0.158
0.1,"0.659 (0.593, 0.593)","0.975 (0.970, 0.970)","0.018 (0.016, 0.016)","0.996 (0.995, 0.995)","0.091 (0.067, 0.067)",Logistic Regression,0.659,0.975,0.018,0.996,0.091
0.11,"0.659 (0.593, 0.593)","0.975 (0.970, 0.970)","0.016 (0.000, 0.000)","0.997 (0.996, 0.996)","0.100 (0.000, 0.000)",Logistic Regression,0.659,0.975,0.016,0.997,0.1
0.12,"0.659 (0.593, 0.593)","0.975 (0.970, 0.970)","0.016 (0.000, 0.000)","0.998 (0.997, 0.997)","0.125 (0.000, 0.000)",Logistic Regression,0.659,0.975,0.016,0.998,0.125
0.13,"0.659 (0.593, 0.593)","0.975 (0.971, 0.971)","0.016 (0.000, 0.000)","0.998 (0.997, 0.997)","0.143 (0.000, 0.000)",Logistic Regression,0.659,0.975,0.016,0.998,0.143
0.14,"0.659 (0.593, 0.593)","0.975 (0.971, 0.971)","0.000 (0.000, 0.000)","0.999 (0.997, 0.997)","0.000 (0.000, 0.000)",Logistic Regression,0.659,0.975,0.0,0.999,0.0
0.15,"0.659 (0.593, 0.593)","0.976 (0.972, 0.972)","0.000 (0.000, 0.000)","0.999 (0.997, 0.997)","0.000 (0.000, 0.000)",Logistic Regression,0.659,0.976,0.0,0.999,0.0
0.16,"0.659 (0.593, 0.593)","0.976 (0.972, 0.972)","0.000 (0.000, 0.000)","0.999 (0.998, 0.998)","0.000 (0.000, 0.000)",Logistic Regression,0.659,0.976,0.0,0.999,0.0
0.17,"0.659 (0.593, 0.593)","0.976 (0.972, 0.972)","0.000 (0.000, 0.000)","0.999 (0.998, 0.998)","0.000 (0.000, 0.000)",Logistic Regression,0.659,0.976,0.0,0.999,0.0
0.18,"0.659 (0.593, 0.593)","0.976 (0.972, 0.972)","0.000 (0.000, 0.000)","0.999 (0.998, 0.998)","0.000 (0.000, 0.000)",Logistic Regression,0.659,0.976,0.0,0.999,0.0
0.19,"0.659 (0.593, 0.593)","0.976 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (0.998, 0.998)","0.000 (0.000, 0.000)",Logistic Regression,0.659,0.976,0.0,1.0,0.0
0.2,"0.659 (0.593, 0.593)","0.976 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (0.998, 0.998)","0.000 (0.000, 0.000)",Logistic Regression,0.659,0.976,0.0,1.0,0.0
0.21,"0.659 (0.593, 0.593)","0.976 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (0.998, 0.998)","0.000 (0.000, 0.000)",Logistic Regression,0.659,0.976,0.0,1.0,0.0
0.22,"0.659 (0.593, 0.593)","0.976 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (0.998, 0.998)","0.000 (0.000, 0.000)",Logistic Regression,0.659,0.976,0.0,1.0,0.0
0.23,"0.659 (0.593, 0.593)","0.976 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (0.998, 0.998)","0.000 (0.000, 0.000)",Logistic Regression,0.659,0.976,0.0,1.0,0.0
0.24,"0.659 (0.593, 0.593)","0.976 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (0.998, 0.998)","0.000 (0.000, 0.000)",Logistic Regression,0.659,0.976,0.0,1.0,0.0
0.25,"0.659 (0.593, 0.593)","0.976 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (0.998, 0.998)","0.000 (0.000, 0.000)",Logistic Regression,0.659,0.976,0.0,1.0,0.0
0.26,"0.659 (0.593, 0.593)","0.976 (0.973, 0.973)","0.000 (0.000, 0.000)","1.000 (0.998, 0.998)","0.000 (0.000, 0.000)",Logistic Regression,0.659,0.976,0.0,1.0,0.0
0.27,"0.659 (0.593, 0.593)","0.976 (0.974, 0.974)","0.000 (0.000, 0.000)","1.000 (0.999, 0.999)","0.000 (0.000, 0.000)",Logistic Regression,0.659,0.976,0.0,1.0,0.0
0.28,"0.659 (0.593, 0.593)","0.976 (0.974, 0.974)","0.000 (0.000, 0.000)","1.000 (0.999, 0.999)","0.000 (0.000, 0.000)",Logistic Regression,0.659,0.976,0.0,1.0,0.0
0.29,"0.659 (0.593, 0.593)","0.976 (0.974, 0.974)","0.000 (0.000, 0.000)","1.000 (0.999, 0.999)","0.000 (0.000, 0.000)",Logistic Regression,0.659,0.976,0.0,1.0,0.0
0.3,"0.659 (0.593, 0.593)","0.976 (0.974, 0.974)","0.000 (0.000, 0.000)","1.000 (0.999, 0.999)","0.000 (0.000, 0.000)",Logistic Regression,0.659,0.976,0.0,1.0,0.0
0.31,"0.659 (0.593, 0.593)","0.976 (0.974, 0.974)","0.000 (0.000, 0.000)","1.000 (0.999, 0.999)","0.000 (0.000, 0.000)",Logistic Regression,0.659,0.976,0.0,1.0,0.0
0.32,"0.659 (0.593, 0.593)","0.976 (0.974, 0.974)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.659,0.976,0.0,1.0,0.0
0.33,"0.659 (0.593, 0.593)","0.976 (0.974, 0.974)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.659,0.976,0.0,1.0,0.0
0.34,"0.659 (0.593, 0.593)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.659,0.976,0.0,1.0,0.0
0.35000000000000003,"0.659 (0.593, 0.593)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.659,0.976,0.0,1.0,0.0
0.36,"0.659 (0.593, 0.593)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.659,0.976,0.0,1.0,0.0
0.37,"0.659 (0.593, 0.593)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.659,0.976,0.0,1.0,0.0
0.38,"0.659 (0.593, 0.593)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.659,0.976,0.0,1.0,0.0
0.39,"0.659 (0.593, 0.593)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.659,0.976,0.0,1.0,0.0
0.4,"0.659 (0.593, 0.593)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.659,0.976,0.0,1.0,0.0
0.41000000000000003,"0.659 (0.593, 0.593)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.659,0.976,0.0,1.0,0.0
0.42,"0.659 (0.593, 0.593)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.659,0.976,0.0,1.0,0.0
0.43,"0.659 (0.593, 0.593)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.659,0.976,0.0,1.0,0.0
0.44,"0.659 (0.593, 0.593)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.659,0.976,0.0,1.0,0.0
0.45,"0.659 (0.593, 0.593)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.659,0.976,0.0,1.0,0.0
0.46,"0.659 (0.593, 0.593)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.659,0.976,0.0,1.0,0.0
0.47000000000000003,"0.659 (0.593, 0.593)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.659,0.976,0.0,1.0,0.0
0.48,"0.659 (0.593, 0.593)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.659,0.976,0.0,1.0,0.0
0.49,"0.659 (0.593, 0.593)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.659,0.976,0.0,1.0,0.0
0.5,"0.659 (0.593, 0.593)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.659,0.976,0.0,1.0,0.0
0.51,"0.659 (0.593, 0.593)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.659,0.976,0.0,1.0,0.0
0.52,"0.659 (0.593, 0.593)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.659,0.976,0.0,1.0,0.0
0.53,"0.659 (0.593, 0.593)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.659,0.976,0.0,1.0,0.0
0.54,"0.659 (0.593, 0.593)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.659,0.976,0.0,1.0,0.0
0.55,"0.659 (0.593, 0.593)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.659,0.976,0.0,1.0,0.0
0.56,"0.659 (0.593, 0.593)","0.976 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Logistic Regression,0.659,0.976,0.0,1.0,0.0
