Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Source
0.49,"0.593 (0.571, 0.571)","0.980 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.5,"0.593 (0.571, 0.571)","0.980 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.51,"0.593 (0.571, 0.571)","0.980 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.52,"0.593 (0.571, 0.571)","0.980 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.53,"0.593 (0.571, 0.571)","0.980 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.54,"0.593 (0.571, 0.571)","0.980 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.55,"0.593 (0.571, 0.571)","0.980 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.56,"0.593 (0.571, 0.571)","0.980 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.5700000000000001,"0.593 (0.571, 0.571)","0.980 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.58,"0.593 (0.571, 0.571)","0.980 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.59,"0.593 (0.571, 0.571)","0.980 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.6,"0.593 (0.571, 0.571)","0.980 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.61,"0.593 (0.571, 0.571)","0.980 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.62,"0.593 (0.571, 0.571)","0.980 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.63,"0.593 (0.571, 0.571)","0.980 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.64,"0.593 (0.571, 0.571)","0.980 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.65,"0.593 (0.571, 0.571)","0.980 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.66,"0.593 (0.571, 0.571)","0.980 (0.975, 0.975)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
