Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Source
0.77,"0.646 (0.624, 0.624)","0.981 (0.978, 0.978)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.78,"0.646 (0.624, 0.624)","0.981 (0.978, 0.978)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.79,"0.646 (0.624, 0.624)","0.981 (0.978, 0.978)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.8,"0.646 (0.624, 0.624)","0.981 (0.978, 0.978)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.81,"0.646 (0.624, 0.624)","0.981 (0.978, 0.978)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.8200000000000001,"0.646 (0.624, 0.624)","0.981 (0.978, 0.978)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.8300000000000001,"0.646 (0.624, 0.624)","0.981 (0.978, 0.978)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.84,"0.646 (0.624, 0.624)","0.981 (0.978, 0.978)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.85,"0.646 (0.624, 0.624)","0.981 (0.978, 0.978)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.86,"0.646 (0.624, 0.624)","0.981 (0.978, 0.978)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.87,"0.646 (0.624, 0.624)","0.981 (0.978, 0.978)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.88,"0.646 (0.624, 0.624)","0.981 (0.978, 0.978)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.89,"0.646 (0.624, 0.624)","0.981 (0.978, 0.978)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.9,"0.646 (0.624, 0.624)","0.981 (0.978, 0.978)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.91,"0.646 (0.624, 0.624)","0.981 (0.978, 0.978)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.92,"0.646 (0.624, 0.624)","0.981 (0.978, 0.978)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.93,"0.646 (0.624, 0.624)","0.981 (0.978, 0.978)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.9400000000000001,"0.646 (0.624, 0.624)","0.981 (0.978, 0.978)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.9500000000000001,"0.646 (0.624, 0.624)","0.981 (0.978, 0.978)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.96,"0.646 (0.624, 0.624)","0.981 (0.978, 0.978)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.97,"0.646 (0.624, 0.624)","0.981 (0.978, 0.978)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.98,"0.646 (0.624, 0.624)","0.981 (0.978, 0.978)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.99,"0.646 (0.624, 0.624)","0.981 (0.978, 0.978)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
1.0,"0.646 (0.624, 0.624)","0.981 (0.978, 0.978)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
1.01,"0.646 (0.624, 0.624)","0.981 (0.978, 0.978)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.0,"0.633 (0.601, 0.601)","0.065 (0.059, 0.059)","0.971 (0.951, 0.951)","0.048 (0.044, 0.044)","0.019 (0.016, 0.016)",AlloSure
0.01,"0.633 (0.601, 0.601)","0.141 (0.133, 0.133)","0.926 (0.900, 0.900)","0.126 (0.119, 0.119)","0.020 (0.017, 0.017)",AlloSure
0.02,"0.633 (0.601, 0.601)","0.234 (0.228, 0.228)","0.880 (0.862, 0.862)","0.222 (0.215, 0.215)","0.021 (0.018, 0.018)",AlloSure
0.03,"0.633 (0.601, 0.601)","0.336 (0.325, 0.325)","0.837 (0.800, 0.800)","0.326 (0.318, 0.318)","0.024 (0.019, 0.019)",AlloSure
0.04,"0.633 (0.601, 0.601)","0.423 (0.410, 0.410)","0.720 (0.690, 0.690)","0.417 (0.403, 0.403)","0.023 (0.019, 0.019)",AlloSure
0.05,"0.633 (0.601, 0.601)","0.501 (0.492, 0.492)","0.684 (0.655, 0.655)","0.498 (0.487, 0.487)","0.026 (0.021, 0.021)",AlloSure
0.06,"0.633 (0.601, 0.601)","0.564 (0.559, 0.559)","0.595 (0.552, 0.552)","0.564 (0.556, 0.556)","0.026 (0.021, 0.021)",AlloSure
0.07,"0.633 (0.601, 0.601)","0.618 (0.612, 0.612)","0.572 (0.517, 0.517)","0.618 (0.613, 0.613)","0.028 (0.022, 0.022)",AlloSure
0.08,"0.633 (0.601, 0.601)","0.661 (0.655, 0.655)","0.503 (0.433, 0.433)","0.664 (0.658, 0.658)","0.029 (0.020, 0.020)",AlloSure
