Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Source
0.54,"0.634 (0.600, 0.600)","0.963 (0.957, 0.957)","0.009 (0.000, 0.000)","0.999 (0.998, 0.998)","0.050 (0.000, 0.000)",Model
0.55,"0.634 (0.600, 0.600)","0.963 (0.957, 0.957)","0.009 (0.000, 0.000)","0.999 (0.998, 0.998)","0.050 (0.000, 0.000)",Model
0.56,"0.634 (0.600, 0.600)","0.963 (0.957, 0.957)","0.009 (0.000, 0.000)","0.999 (0.998, 0.998)","0.050 (0.000, 0.000)",Model
0.5700000000000001,"0.634 (0.600, 0.600)","0.963 (0.957, 0.957)","0.009 (0.000, 0.000)","0.999 (0.998, 0.998)","0.050 (0.000, 0.000)",Model
0.58,"0.634 (0.600, 0.600)","0.963 (0.957, 0.957)","0.009 (0.000, 0.000)","0.999 (0.998, 0.998)","0.050 (0.000, 0.000)",Model
0.59,"0.634 (0.600, 0.600)","0.963 (0.961, 0.961)","0.009 (0.000, 0.000)","0.999 (0.998, 0.998)","0.100 (0.000, 0.000)",Model
0.6,"0.634 (0.600, 0.600)","0.963 (0.961, 0.961)","0.009 (0.000, 0.000)","0.999 (0.998, 0.998)","0.100 (0.000, 0.000)",Model
0.61,"0.634 (0.600, 0.600)","0.963 (0.961, 0.961)","0.009 (0.000, 0.000)","0.999 (0.998, 0.998)","0.100 (0.000, 0.000)",Model
0.62,"0.634 (0.600, 0.600)","0.963 (0.961, 0.961)","0.009 (0.000, 0.000)","0.999 (0.998, 0.998)","0.100 (0.000, 0.000)",Model
0.63,"0.634 (0.600, 0.600)","0.963 (0.961, 0.961)","0.009 (0.000, 0.000)","0.999 (0.998, 0.998)","0.100 (0.000, 0.000)",Model
0.64,"0.634 (0.600, 0.600)","0.964 (0.962, 0.962)","0.009 (0.000, 0.000)","1.000 (1.000, 1.000)","0.200 (0.000, 0.000)",Model
