Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Source
0.76,"0.641 (0.612, 0.612)","0.967 (0.961, 0.961)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.77,"0.641 (0.612, 0.612)","0.967 (0.961, 0.961)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.78,"0.641 (0.612, 0.612)","0.967 (0.961, 0.961)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.79,"0.641 (0.612, 0.612)","0.967 (0.961, 0.961)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.8,"0.641 (0.612, 0.612)","0.967 (0.961, 0.961)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.81,"0.641 (0.612, 0.612)","0.967 (0.961, 0.961)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.8200000000000001,"0.641 (0.612, 0.612)","0.967 (0.961, 0.961)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.8300000000000001,"0.641 (0.612, 0.612)","0.967 (0.961, 0.961)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.84,"0.641 (0.612, 0.612)","0.967 (0.961, 0.961)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.85,"0.641 (0.612, 0.612)","0.967 (0.961, 0.961)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.86,"0.641 (0.612, 0.612)","0.967 (0.961, 0.961)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.87,"0.641 (0.612, 0.612)","0.967 (0.961, 0.961)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.88,"0.641 (0.612, 0.612)","0.967 (0.961, 0.961)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.89,"0.641 (0.612, 0.612)","0.967 (0.961, 0.961)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.9,"0.641 (0.612, 0.612)","0.967 (0.961, 0.961)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.91,"0.641 (0.612, 0.612)","0.967 (0.961, 0.961)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.92,"0.641 (0.612, 0.612)","0.967 (0.961, 0.961)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.93,"0.641 (0.612, 0.612)","0.967 (0.961, 0.961)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.9400000000000001,"0.641 (0.612, 0.612)","0.967 (0.961, 0.961)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.9500000000000001,"0.641 (0.612, 0.612)","0.967 (0.961, 0.961)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.96,"0.641 (0.612, 0.612)","0.967 (0.961, 0.961)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.97,"0.641 (0.612, 0.612)","0.967 (0.961, 0.961)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.98,"0.641 (0.612, 0.612)","0.967 (0.961, 0.961)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.99,"0.641 (0.612, 0.612)","0.967 (0.961, 0.961)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
1.0,"0.641 (0.612, 0.612)","0.967 (0.961, 0.961)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
1.01,"0.641 (0.612, 0.612)","0.967 (0.961, 0.961)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.0,"0.668 (0.693, 0.693)","0.074 (0.065, 0.065)","0.984 (0.966, 0.966)","0.043 (0.038, 0.038)","0.034 (0.028, 0.028)",AlloSure
0.01,"0.668 (0.693, 0.693)","0.131 (0.125, 0.125)","0.945 (0.944, 0.944)","0.103 (0.096, 0.096)","0.035 (0.029, 0.029)",AlloSure
0.02,"0.668 (0.693, 0.693)","0.209 (0.192, 0.192)","0.917 (0.897, 0.897)","0.185 (0.170, 0.170)","0.037 (0.033, 0.033)",AlloSure
0.03,"0.668 (0.693, 0.693)","0.294 (0.283, 0.283)","0.908 (0.897, 0.897)","0.273 (0.264, 0.264)","0.041 (0.035, 0.035)",AlloSure
0.04,"0.668 (0.693, 0.693)","0.364 (0.347, 0.347)","0.809 (0.810, 0.810)","0.348 (0.332, 0.332)","0.041 (0.034, 0.034)",AlloSure
0.05,"0.668 (0.693, 0.693)","0.430 (0.418, 0.418)","0.787 (0.762, 0.762)","0.418 (0.403, 0.403)","0.045 (0.035, 0.035)",AlloSure
0.06,"0.668 (0.693, 0.693)","0.483 (0.475, 0.475)","0.721 (0.727, 0.727)","0.475 (0.463, 0.463)","0.045 (0.037, 0.037)",AlloSure
0.07,"0.668 (0.693, 0.693)","0.534 (0.528, 0.528)","0.693 (0.714, 0.714)","0.528 (0.523, 0.523)","0.049 (0.041, 0.041)",AlloSure
0.08,"0.668 (0.693, 0.693)","0.576 (0.566, 0.566)","0.639 (0.636, 0.636)","0.573 (0.564, 0.564)","0.050 (0.039, 0.039)",AlloSure
0.09,"0.668 (0.693, 0.693)","0.611 (0.605, 0.605)","0.606 (0.636, 0.636)","0.611 (0.605, 0.605)","0.051 (0.043, 0.043)",AlloSure
0.1,"0.668 (0.693, 0.693)","0.641 (0.633, 0.633)","0.588 (0.636, 0.636)","0.643 (0.633, 0.633)","0.054 (0.046, 0.046)",AlloSure
0.11,"0.668 (0.693, 0.693)","0.663 (0.653, 0.653)","0.588 (0.636, 0.636)","0.666 (0.652, 0.652)","0.057 (0.049, 0.049)",AlloSure
