Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Source,AUC_Median,Accuracy_Median,Sensitivity_Median,Specificity_Median,PPV (Precision)_Median
0.29,"0.716 (0.670, 0.670)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","0.998 (0.998, 0.998)","0.000 (0.000, 0.000)",Model,0.716,0.978,0.0,0.998,0.0
0.3,"0.716 (0.670, 0.670)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","0.999 (0.998, 0.998)","0.000 (0.000, 0.000)",Model,0.716,0.978,0.0,0.999,0.0
0.31,"0.716 (0.670, 0.670)","0.979 (0.977, 0.977)","0.000 (0.000, 0.000)","0.999 (0.998, 0.998)","0.000 (0.000, 0.000)",Model,0.716,0.979,0.0,0.999,0.0
0.32,"0.716 (0.670, 0.670)","0.979 (0.977, 0.977)","0.000 (0.000, 0.000)","0.999 (0.999, 0.999)","0.000 (0.000, 0.000)",Model,0.716,0.979,0.0,0.999,0.0
0.33,"0.716 (0.670, 0.670)","0.979 (0.977, 0.977)","0.000 (0.000, 0.000)","0.999 (0.999, 0.999)","0.000 (0.000, 0.000)",Model,0.716,0.979,0.0,0.999,0.0
0.34,"0.716 (0.670, 0.670)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (0.999, 0.999)","0.000 (0.000, 0.000)",Model,0.716,0.979,0.0,1.0,0.0
0.35000000000000003,"0.716 (0.670, 0.670)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (0.999, 0.999)","0.000 (0.000, 0.000)",Model,0.716,0.979,0.0,1.0,0.0
0.36,"0.716 (0.670, 0.670)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (0.999, 0.999)","0.000 (0.000, 0.000)",Model,0.716,0.978,0.0,1.0,0.0
0.37,"0.716 (0.670, 0.670)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (0.999, 0.999)","0.000 (0.000, 0.000)",Model,0.716,0.978,0.0,1.0,0.0
0.38,"0.716 (0.670, 0.670)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.716,0.978,0.0,1.0,0.0
0.39,"0.716 (0.670, 0.670)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.716,0.978,0.0,1.0,0.0
0.4,"0.716 (0.670, 0.670)","0.978 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.716,0.978,0.0,1.0,0.0
0.41000000000000003,"0.716 (0.670, 0.670)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.716,0.979,0.0,1.0,0.0
0.42,"0.716 (0.670, 0.670)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.716,0.979,0.0,1.0,0.0
0.43,"0.716 (0.670, 0.670)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.716,0.979,0.0,1.0,0.0
0.44,"0.716 (0.670, 0.670)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.716,0.979,0.0,1.0,0.0
0.45,"0.716 (0.670, 0.670)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.716,0.979,0.0,1.0,0.0
0.46,"0.716 (0.670, 0.670)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.716,0.979,0.0,1.0,0.0
0.47000000000000003,"0.716 (0.670, 0.670)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.716,0.979,0.0,1.0,0.0
0.48,"0.716 (0.670, 0.670)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.716,0.979,0.0,1.0,0.0
0.49,"0.716 (0.670, 0.670)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.716,0.979,0.0,1.0,0.0
0.5,"0.716 (0.670, 0.670)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.716,0.979,0.0,1.0,0.0
0.51,"0.716 (0.670, 0.670)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.716,0.979,0.0,1.0,0.0
0.52,"0.716 (0.670, 0.670)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.716,0.979,0.0,1.0,0.0
0.53,"0.716 (0.670, 0.670)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.716,0.979,0.0,1.0,0.0
0.54,"0.716 (0.670, 0.670)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.716,0.979,0.0,1.0,0.0
0.55,"0.716 (0.670, 0.670)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.716,0.979,0.0,1.0,0.0
0.56,"0.716 (0.670, 0.670)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.716,0.979,0.0,1.0,0.0
0.5700000000000001,"0.716 (0.670, 0.670)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.716,0.979,0.0,1.0,0.0
0.58,"0.716 (0.670, 0.670)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.716,0.979,0.0,1.0,0.0
0.59,"0.716 (0.670, 0.670)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.716,0.979,0.0,1.0,0.0
0.6,"0.716 (0.670, 0.670)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.716,0.979,0.0,1.0,0.0
0.61,"0.716 (0.670, 0.670)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.716,0.979,0.0,1.0,0.0
0.62,"0.716 (0.670, 0.670)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.716,0.979,0.0,1.0,0.0
0.63,"0.716 (0.670, 0.670)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.716,0.979,0.0,1.0,0.0
0.64,"0.716 (0.670, 0.670)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.716,0.979,0.0,1.0,0.0
0.65,"0.716 (0.670, 0.670)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.716,0.979,0.0,1.0,0.0
0.66,"0.716 (0.670, 0.670)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.716,0.979,0.0,1.0,0.0
0.67,"0.716 (0.670, 0.670)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.716,0.979,0.0,1.0,0.0
0.68,"0.716 (0.670, 0.670)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.716,0.979,0.0,1.0,0.0
0.6900000000000001,"0.716 (0.670, 0.670)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.716,0.979,0.0,1.0,0.0
0.7000000000000001,"0.716 (0.670, 0.670)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.716,0.979,0.0,1.0,0.0
0.71,"0.716 (0.670, 0.670)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.716,0.979,0.0,1.0,0.0
0.72,"0.716 (0.670, 0.670)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.716,0.979,0.0,1.0,0.0
0.73,"0.716 (0.670, 0.670)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.716,0.979,0.0,1.0,0.0
0.74,"0.716 (0.670, 0.670)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.716,0.979,0.0,1.0,0.0
0.75,"0.716 (0.670, 0.670)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.716,0.979,0.0,1.0,0.0
0.76,"0.716 (0.670, 0.670)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.716,0.979,0.0,1.0,0.0
0.77,"0.716 (0.670, 0.670)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.716,0.979,0.0,1.0,0.0
0.78,"0.716 (0.670, 0.670)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.716,0.979,0.0,1.0,0.0
0.79,"0.716 (0.670, 0.670)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.716,0.979,0.0,1.0,0.0
0.8,"0.716 (0.670, 0.670)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.716,0.979,0.0,1.0,0.0
0.81,"0.716 (0.670, 0.670)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.716,0.979,0.0,1.0,0.0
0.8200000000000001,"0.716 (0.670, 0.670)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.716,0.979,0.0,1.0,0.0
0.8300000000000001,"0.716 (0.670, 0.670)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.716,0.979,0.0,1.0,0.0
0.84,"0.716 (0.670, 0.670)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.716,0.979,0.0,1.0,0.0
0.85,"0.716 (0.670, 0.670)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.716,0.979,0.0,1.0,0.0
0.86,"0.716 (0.670, 0.670)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.716,0.979,0.0,1.0,0.0
0.87,"0.716 (0.670, 0.670)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.716,0.979,0.0,1.0,0.0
0.88,"0.716 (0.670, 0.670)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.716,0.979,0.0,1.0,0.0
0.89,"0.716 (0.670, 0.670)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.716,0.979,0.0,1.0,0.0
0.9,"0.716 (0.670, 0.670)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.716,0.979,0.0,1.0,0.0
0.91,"0.716 (0.670, 0.670)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.716,0.979,0.0,1.0,0.0
0.92,"0.716 (0.670, 0.670)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.716,0.979,0.0,1.0,0.0
0.93,"0.716 (0.670, 0.670)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.716,0.979,0.0,1.0,0.0
0.9400000000000001,"0.716 (0.670, 0.670)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.716,0.979,0.0,1.0,0.0
0.9500000000000001,"0.716 (0.670, 0.670)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.716,0.979,0.0,1.0,0.0
0.96,"0.716 (0.670, 0.670)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.716,0.979,0.0,1.0,0.0
0.97,"0.716 (0.670, 0.670)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.716,0.979,0.0,1.0,0.0
0.98,"0.716 (0.670, 0.670)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.716,0.979,0.0,1.0,0.0
0.99,"0.716 (0.670, 0.670)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.716,0.979,0.0,1.0,0.0
1.0,"0.716 (0.670, 0.670)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.716,0.979,0.0,1.0,0.0
1.01,"0.716 (0.670, 0.670)","0.979 (0.976, 0.976)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model,0.716,0.979,0.0,1.0,0.0
0.0,"0.663 (0.636, 0.636)","0.064 (0.062, 0.062)","0.978 (0.976, 0.976)","0.042 (0.042, 0.042)","0.021 (0.020, 0.020)",AlloSure,0.663,0.064,0.978,0.042,0.021
0.01,"0.663 (0.636, 0.636)","0.130 (0.126, 0.126)","0.964 (0.948, 0.948)","0.111 (0.110, 0.110)","0.021 (0.021, 0.021)",AlloSure,0.663,0.13,0.964,0.111,0.021
0.02,"0.663 (0.636, 0.636)","0.218 (0.213, 0.213)","0.945 (0.897, 0.897)","0.200 (0.200, 0.200)","0.023 (0.022, 0.022)",AlloSure,0.663,0.218,0.945,0.2,0.023
0.03,"0.663 (0.636, 0.636)","0.318 (0.303, 0.303)","0.889 (0.879, 0.879)","0.303 (0.291, 0.291)","0.025 (0.025, 0.025)",AlloSure,0.663,0.318,0.889,0.303,0.025
0.04,"0.663 (0.636, 0.636)","0.392 (0.387, 0.387)","0.762 (0.756, 0.756)","0.382 (0.379, 0.379)","0.025 (0.024, 0.024)",AlloSure,0.663,0.392,0.762,0.382,0.025
0.05,"0.663 (0.636, 0.636)","0.468 (0.455, 0.455)","0.714 (0.709, 0.709)","0.463 (0.450, 0.450)","0.027 (0.025, 0.025)",AlloSure,0.663,0.468,0.714,0.463,0.027
0.06,"0.663 (0.636, 0.636)","0.530 (0.517, 0.517)","0.667 (0.655, 0.655)","0.527 (0.513, 0.513)","0.029 (0.026, 0.026)",AlloSure,0.663,0.53,0.667,0.527,0.029
0.07,"0.663 (0.636, 0.636)","0.575 (0.564, 0.564)","0.625 (0.619, 0.619)","0.574 (0.563, 0.563)","0.030 (0.028, 0.028)",AlloSure,0.663,0.575,0.625,0.574,0.03
0.08,"0.663 (0.636, 0.636)","0.620 (0.605, 0.605)","0.595 (0.583, 0.583)","0.621 (0.605, 0.605)","0.031 (0.030, 0.030)",AlloSure,0.663,0.62,0.595,0.621,0.031
0.09,"0.663 (0.636, 0.636)","0.657 (0.645, 0.645)","0.582 (0.571, 0.571)","0.659 (0.647, 0.647)","0.035 (0.032, 0.032)",AlloSure,0.663,0.657,0.582,0.659,0.035
0.1,"0.663 (0.636, 0.636)","0.694 (0.672, 0.672)","0.562 (0.548, 0.548)","0.697 (0.675, 0.675)","0.037 (0.034, 0.034)",AlloSure,0.663,0.694,0.562,0.697,0.037
0.11,"0.663 (0.636, 0.636)","0.718 (0.697, 0.697)","0.562 (0.548, 0.548)","0.722 (0.702, 0.702)","0.039 (0.037, 0.037)",AlloSure,0.663,0.718,0.562,0.722,0.039
0.12,"0.663 (0.636, 0.636)","0.735 (0.718, 0.718)","0.548 (0.542, 0.542)","0.739 (0.723, 0.723)","0.041 (0.039, 0.039)",AlloSure,0.663,0.735,0.548,0.739,0.041
0.13,"0.663 (0.636, 0.636)","0.750 (0.738, 0.738)","0.542 (0.524, 0.524)","0.754 (0.743, 0.743)","0.044 (0.040, 0.040)",AlloSure,0.663,0.75,0.542,0.754,0.044
0.14,"0.663 (0.636, 0.636)","0.766 (0.751, 0.751)","0.479 (0.476, 0.476)","0.772 (0.757, 0.757)","0.041 (0.039, 0.039)",AlloSure,0.663,0.766,0.479,0.772,0.041
0.15,"0.663 (0.636, 0.636)","0.781 (0.765, 0.765)","0.458 (0.452, 0.452)","0.787 (0.771, 0.771)","0.042 (0.040, 0.040)",AlloSure,0.663,0.781,0.458,0.787,0.042
0.16,"0.663 (0.636, 0.636)","0.794 (0.781, 0.781)","0.458 (0.452, 0.452)","0.801 (0.788, 0.788)","0.044 (0.043, 0.043)",AlloSure,0.663,0.794,0.458,0.801,0.044
0.17,"0.663 (0.636, 0.636)","0.802 (0.792, 0.792)","0.458 (0.422, 0.422)","0.810 (0.799, 0.799)","0.046 (0.040, 0.040)",AlloSure,0.663,0.802,0.458,0.81,0.046
0.18,"0.663 (0.636, 0.636)","0.811 (0.800, 0.800)","0.431 (0.405, 0.405)","0.821 (0.808, 0.808)","0.048 (0.043, 0.043)",AlloSure,0.663,0.811,0.431,0.821,0.048
0.19,"0.663 (0.636, 0.636)","0.820 (0.811, 0.811)","0.431 (0.405, 0.405)","0.829 (0.820, 0.820)","0.048 (0.044, 0.044)",AlloSure,0.663,0.82,0.431,0.829,0.048
0.2,"0.663 (0.636, 0.636)","0.828 (0.822, 0.822)","0.431 (0.381, 0.381)","0.836 (0.831, 0.831)","0.050 (0.043, 0.043)",AlloSure,0.663,0.828,0.431,0.836,0.05
0.21,"0.663 (0.636, 0.636)","0.833 (0.833, 0.833)","0.397 (0.381, 0.381)","0.843 (0.842, 0.842)","0.050 (0.045, 0.045)",AlloSure,0.663,0.833,0.397,0.843,0.05
0.22,"0.663 (0.636, 0.636)","0.840 (0.837, 0.837)","0.354 (0.333, 0.333)","0.850 (0.848, 0.848)","0.044 (0.042, 0.042)",AlloSure,0.663,0.84,0.354,0.85,0.044
0.23,"0.663 (0.636, 0.636)","0.847 (0.844, 0.844)","0.354 (0.333, 0.333)","0.858 (0.855, 0.855)","0.046 (0.044, 0.044)",AlloSure,0.663,0.847,0.354,0.858,0.046
0.24,"0.663 (0.636, 0.636)","0.853 (0.848, 0.848)","0.354 (0.310, 0.310)","0.863 (0.859, 0.859)","0.047 (0.043, 0.043)",AlloSure,0.663,0.853,0.354,0.863,0.047
0.25,"0.663 (0.636, 0.636)","0.856 (0.852, 0.852)","0.354 (0.289, 0.289)","0.867 (0.863, 0.863)","0.048 (0.040, 0.040)",AlloSure,0.663,0.856,0.354,0.867,0.048
0.26,"0.663 (0.636, 0.636)","0.862 (0.853, 0.853)","0.354 (0.267, 0.267)","0.874 (0.864, 0.864)","0.050 (0.039, 0.039)",AlloSure,0.663,0.862,0.354,0.874,0.05
0.27,"0.663 (0.636, 0.636)","0.865 (0.858, 0.858)","0.354 (0.262, 0.262)","0.877 (0.870, 0.870)","0.051 (0.040, 0.040)",AlloSure,0.663,0.865,0.354,0.877,0.051
0.28,"0.663 (0.636, 0.636)","0.868 (0.860, 0.860)","0.333 (0.262, 0.262)","0.880 (0.872, 0.872)","0.049 (0.042, 0.042)",AlloSure,0.663,0.868,0.333,0.88,0.049
0.29,"0.663 (0.636, 0.636)","0.871 (0.862, 0.862)","0.328 (0.262, 0.262)","0.884 (0.875, 0.875)","0.051 (0.043, 0.043)",AlloSure,0.663,0.871,0.328,0.884,0.051
