Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Source
1.01,"0.641 (0.631, 0.631)","0.969 (0.965, 0.965)","0.000 (0.000, 0.000)","1.000 (1.000, 1.000)","0.000 (0.000, 0.000)",Model
0.0,"0.674 (0.635, 0.635)","0.072 (0.068, 0.068)","0.986 (0.974, 0.974)","0.043 (0.041, 0.041)","0.031 (0.028, 0.028)",AlloSure
0.01,"0.674 (0.635, 0.635)","0.135 (0.131, 0.131)","0.949 (0.926, 0.926)","0.110 (0.109, 0.109)","0.032 (0.028, 0.028)",AlloSure
0.02,"0.674 (0.635, 0.635)","0.214 (0.203, 0.203)","0.918 (0.889, 0.889)","0.192 (0.185, 0.185)","0.034 (0.029, 0.029)",AlloSure
0.03,"0.674 (0.635, 0.635)","0.298 (0.294, 0.294)","0.898 (0.852, 0.852)","0.279 (0.278, 0.278)","0.038 (0.032, 0.032)",AlloSure
0.04,"0.674 (0.635, 0.635)","0.372 (0.363, 0.363)","0.808 (0.778, 0.778)","0.358 (0.351, 0.351)","0.038 (0.032, 0.032)",AlloSure
0.05,"0.674 (0.635, 0.635)","0.440 (0.423, 0.423)","0.779 (0.741, 0.741)","0.429 (0.414, 0.414)","0.041 (0.034, 0.034)",AlloSure
0.06,"0.674 (0.635, 0.635)","0.490 (0.469, 0.469)","0.723 (0.667, 0.667)","0.483 (0.464, 0.464)","0.042 (0.034, 0.034)",AlloSure
0.07,"0.674 (0.635, 0.635)","0.537 (0.525, 0.525)","0.712 (0.667, 0.667)","0.532 (0.520, 0.520)","0.046 (0.038, 0.038)",AlloSure
0.08,"0.674 (0.635, 0.635)","0.577 (0.560, 0.560)","0.663 (0.590, 0.590)","0.575 (0.557, 0.557)","0.047 (0.039, 0.039)",AlloSure
0.09,"0.674 (0.635, 0.635)","0.612 (0.602, 0.602)","0.633 (0.519, 0.519)","0.612 (0.602, 0.602)","0.049 (0.041, 0.041)",AlloSure
0.1,"0.674 (0.635, 0.635)","0.639 (0.629, 0.629)","0.605 (0.487, 0.487)","0.641 (0.627, 0.627)","0.050 (0.042, 0.042)",AlloSure
0.11,"0.674 (0.635, 0.635)","0.661 (0.647, 0.647)","0.605 (0.487, 0.487)","0.663 (0.651, 0.651)","0.053 (0.045, 0.045)",AlloSure
0.12,"0.674 (0.635, 0.635)","0.681 (0.673, 0.673)","0.599 (0.487, 0.487)","0.684 (0.678, 0.678)","0.056 (0.048, 0.048)",AlloSure
0.13,"0.674 (0.635, 0.635)","0.697 (0.691, 0.691)","0.588 (0.487, 0.487)","0.701 (0.696, 0.696)","0.058 (0.052, 0.052)",AlloSure
0.14,"0.674 (0.635, 0.635)","0.711 (0.706, 0.706)","0.556 (0.462, 0.462)","0.716 (0.710, 0.710)","0.057 (0.051, 0.051)",AlloSure
0.15,"0.674 (0.635, 0.635)","0.725 (0.714, 0.714)","0.539 (0.444, 0.444)","0.732 (0.721, 0.721)","0.059 (0.054, 0.054)",AlloSure
0.16,"0.674 (0.635, 0.635)","0.738 (0.724, 0.724)","0.534 (0.444, 0.444)","0.745 (0.731, 0.731)","0.061 (0.056, 0.056)",AlloSure
0.17,"0.674 (0.635, 0.635)","0.746 (0.731, 0.731)","0.529 (0.444, 0.444)","0.754 (0.739, 0.739)","0.062 (0.059, 0.059)",AlloSure
0.18,"0.674 (0.635, 0.635)","0.756 (0.742, 0.742)","0.523 (0.444, 0.444)","0.764 (0.752, 0.752)","0.064 (0.060, 0.060)",AlloSure
0.19,"0.674 (0.635, 0.635)","0.765 (0.751, 0.751)","0.508 (0.444, 0.444)","0.774 (0.761, 0.761)","0.065 (0.058, 0.058)",AlloSure
0.2,"0.674 (0.635, 0.635)","0.776 (0.758, 0.758)","0.500 (0.444, 0.444)","0.785 (0.768, 0.768)","0.067 (0.061, 0.061)",AlloSure
0.21,"0.674 (0.635, 0.635)","0.783 (0.763, 0.763)","0.464 (0.407, 0.407)","0.793 (0.773, 0.773)","0.065 (0.056, 0.056)",AlloSure
0.22,"0.674 (0.635, 0.635)","0.786 (0.769, 0.769)","0.435 (0.370, 0.370)","0.798 (0.778, 0.778)","0.063 (0.054, 0.054)",AlloSure
0.23,"0.674 (0.635, 0.635)","0.794 (0.773, 0.773)","0.435 (0.370, 0.370)","0.805 (0.782, 0.782)","0.065 (0.056, 0.056)",AlloSure
0.24,"0.674 (0.635, 0.635)","0.799 (0.782, 0.782)","0.430 (0.370, 0.370)","0.811 (0.789, 0.789)","0.066 (0.057, 0.057)",AlloSure
0.25,"0.674 (0.635, 0.635)","0.804 (0.786, 0.786)","0.430 (0.370, 0.370)","0.816 (0.793, 0.793)","0.068 (0.059, 0.059)",AlloSure
0.26,"0.674 (0.635, 0.635)","0.809 (0.790, 0.790)","0.422 (0.370, 0.370)","0.821 (0.797, 0.797)","0.069 (0.060, 0.060)",AlloSure
0.27,"0.674 (0.635, 0.635)","0.813 (0.794, 0.794)","0.416 (0.370, 0.370)","0.826 (0.804, 0.804)","0.069 (0.061, 0.061)",AlloSure
0.28,"0.674 (0.635, 0.635)","0.817 (0.802, 0.802)","0.416 (0.370, 0.370)","0.830 (0.813, 0.813)","0.070 (0.062, 0.062)",AlloSure
0.29,"0.674 (0.635, 0.635)","0.820 (0.808, 0.808)","0.411 (0.370, 0.370)","0.834 (0.817, 0.817)","0.070 (0.062, 0.062)",AlloSure
0.3,"0.674 (0.635, 0.635)","0.824 (0.812, 0.812)","0.401 (0.370, 0.370)","0.837 (0.821, 0.821)","0.070 (0.065, 0.065)",AlloSure
0.31,"0.674 (0.635, 0.635)","0.827 (0.815, 0.815)","0.401 (0.370, 0.370)","0.841 (0.826, 0.826)","0.071 (0.066, 0.066)",AlloSure
0.32,"0.674 (0.635, 0.635)","0.830 (0.819, 0.819)","0.393 (0.370, 0.370)","0.845 (0.832, 0.832)","0.072 (0.069, 0.069)",AlloSure
0.33,"0.674 (0.635, 0.635)","0.834 (0.823, 0.823)","0.393 (0.370, 0.370)","0.849 (0.836, 0.836)","0.073 (0.071, 0.071)",AlloSure
0.34,"0.674 (0.635, 0.635)","0.838 (0.830, 0.830)","0.388 (0.370, 0.370)","0.852 (0.841, 0.841)","0.074 (0.072, 0.072)",AlloSure
0.35000000000000003,"0.674 (0.635, 0.635)","0.839 (0.832, 0.832)","0.375 (0.333, 0.333)","0.854 (0.844, 0.844)","0.072 (0.069, 0.069)",AlloSure
0.36,"0.674 (0.635, 0.635)","0.842 (0.835, 0.835)","0.375 (0.333, 0.333)","0.857 (0.849, 0.849)","0.074 (0.070, 0.070)",AlloSure
0.37,"0.674 (0.635, 0.635)","0.845 (0.837, 0.837)","0.375 (0.333, 0.333)","0.860 (0.853, 0.853)","0.075 (0.071, 0.071)",AlloSure
0.38,"0.674 (0.635, 0.635)","0.847 (0.838, 0.838)","0.375 (0.333, 0.333)","0.862 (0.856, 0.856)","0.076 (0.071, 0.071)",AlloSure
0.39,"0.674 (0.635, 0.635)","0.850 (0.840, 0.840)","0.375 (0.333, 0.333)","0.866 (0.858, 0.858)","0.078 (0.074, 0.074)",AlloSure
0.4,"0.674 (0.635, 0.635)","0.851 (0.843, 0.843)","0.370 (0.333, 0.333)","0.867 (0.858, 0.858)","0.077 (0.074, 0.074)",AlloSure
0.41000000000000003,"0.674 (0.635, 0.635)","0.854 (0.845, 0.845)","0.370 (0.333, 0.333)","0.870 (0.860, 0.860)","0.079 (0.076, 0.076)",AlloSure
0.42,"0.674 (0.635, 0.635)","0.856 (0.846, 0.846)","0.370 (0.333, 0.333)","0.872 (0.861, 0.861)","0.080 (0.077, 0.077)",AlloSure
