Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Source
0.58,"0.697 (0.684, 0.684)","0.979 (0.976, 0.976)","0.013 (0.000, 0.000)","1.000 (1.000, 1.000)","0.267 (0.000, 0.000)",Model
0.59,"0.697 (0.684, 0.684)","0.979 (0.976, 0.976)","0.013 (0.000, 0.000)","1.000 (1.000, 1.000)","0.267 (0.000, 0.000)",Model
0.6,"0.697 (0.684, 0.684)","0.979 (0.976, 0.976)","0.010 (0.000, 0.000)","1.000 (1.000, 1.000)","0.233 (0.000, 0.000)",Model
0.61,"0.697 (0.684, 0.684)","0.979 (0.976, 0.976)","0.010 (0.000, 0.000)","1.000 (1.000, 1.000)","0.233 (0.000, 0.000)",Model
0.62,"0.697 (0.684, 0.684)","0.979 (0.976, 0.976)","0.010 (0.000, 0.000)","1.000 (1.000, 1.000)","0.233 (0.000, 0.000)",Model
0.63,"0.697 (0.684, 0.684)","0.979 (0.976, 0.976)","0.010 (0.000, 0.000)","1.000 (1.000, 1.000)","0.233 (0.000, 0.000)",Model
0.64,"0.697 (0.684, 0.684)","0.979 (0.976, 0.976)","0.010 (0.000, 0.000)","1.000 (1.000, 1.000)","0.233 (0.000, 0.000)",Model
0.65,"0.697 (0.684, 0.684)","0.979 (0.976, 0.976)","0.010 (0.000, 0.000)","1.000 (1.000, 1.000)","0.233 (0.000, 0.000)",Model
0.66,"0.697 (0.684, 0.684)","0.979 (0.975, 0.975)","0.007 (0.000, 0.000)","1.000 (1.000, 1.000)","0.200 (0.000, 0.000)",Model
0.67,"0.697 (0.684, 0.684)","0.979 (0.975, 0.975)","0.007 (0.000, 0.000)","1.000 (1.000, 1.000)","0.200 (0.000, 0.000)",Model
0.68,"0.697 (0.684, 0.684)","0.979 (0.975, 0.975)","0.007 (0.000, 0.000)","1.000 (1.000, 1.000)","0.200 (0.000, 0.000)",Model
0.6900000000000001,"0.697 (0.684, 0.684)","0.979 (0.975, 0.975)","0.007 (0.000, 0.000)","1.000 (1.000, 1.000)","0.200 (0.000, 0.000)",Model
0.7000000000000001,"0.697 (0.684, 0.684)","0.979 (0.975, 0.975)","0.003 (0.000, 0.000)","1.000 (1.000, 1.000)","0.100 (0.000, 0.000)",Model
0.71,"0.697 (0.684, 0.684)","0.979 (0.975, 0.975)","0.003 (0.000, 0.000)","1.000 (1.000, 1.000)","0.100 (0.000, 0.000)",Model
0.72,"0.697 (0.684, 0.684)","0.979 (0.975, 0.975)","0.003 (0.000, 0.000)","1.000 (1.000, 1.000)","0.100 (0.000, 0.000)",Model
0.73,"0.697 (0.684, 0.684)","0.979 (0.975, 0.975)","0.003 (0.000, 0.000)","1.000 (1.000, 1.000)","0.100 (0.000, 0.000)",Model
