Threshold,AUC,Accuracy,Sensitivity,Specificity,PPV (Precision),Source
0.22,"0.665 (0.615, 0.615)","0.810 (0.797, 0.797)","0.386 (0.297, 0.297)","0.822 (0.804, 0.804)","0.053 (0.042, 0.042)",AlloSure
0.23,"0.665 (0.615, 0.615)","0.818 (0.804, 0.804)","0.380 (0.297, 0.297)","0.830 (0.811, 0.811)","0.055 (0.044, 0.044)",AlloSure
0.24,"0.665 (0.615, 0.615)","0.823 (0.811, 0.811)","0.373 (0.297, 0.297)","0.835 (0.818, 0.818)","0.056 (0.045, 0.045)",AlloSure
0.25,"0.665 (0.615, 0.615)","0.827 (0.816, 0.816)","0.373 (0.297, 0.297)","0.839 (0.823, 0.823)","0.057 (0.046, 0.046)",AlloSure
0.26,"0.665 (0.615, 0.615)","0.831 (0.819, 0.819)","0.367 (0.297, 0.297)","0.844 (0.827, 0.827)","0.058 (0.048, 0.048)",AlloSure
0.27,"0.665 (0.615, 0.615)","0.835 (0.823, 0.823)","0.359 (0.297, 0.297)","0.848 (0.831, 0.831)","0.058 (0.049, 0.049)",AlloSure
0.28,"0.665 (0.615, 0.615)","0.838 (0.824, 0.824)","0.359 (0.297, 0.297)","0.851 (0.832, 0.832)","0.059 (0.050, 0.050)",AlloSure
0.29,"0.665 (0.615, 0.615)","0.841 (0.826, 0.826)","0.353 (0.297, 0.297)","0.854 (0.834, 0.834)","0.059 (0.051, 0.051)",AlloSure
0.3,"0.665 (0.615, 0.615)","0.844 (0.829, 0.829)","0.342 (0.243, 0.243)","0.857 (0.837, 0.837)","0.059 (0.043, 0.043)",AlloSure
0.31,"0.665 (0.615, 0.615)","0.847 (0.831, 0.831)","0.342 (0.243, 0.243)","0.861 (0.840, 0.840)","0.060 (0.044, 0.044)",AlloSure
0.32,"0.665 (0.615, 0.615)","0.850 (0.834, 0.834)","0.339 (0.243, 0.243)","0.864 (0.843, 0.843)","0.061 (0.045, 0.045)",AlloSure
